tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1366336274777460736,@COVID_19_ZA,#HealthSpotlight South Africa aims to vaccinate around 1.1 million people against #COVID19 by the end of March as it ramps up its vaccination programme. The second batch of the Johnson&Johnson vaccine arrived in the country two days ago.,108,65,0,2021-03-01T10:35:27.000Z
1366110510916206592,@COVID_19_ZA,"As announced by His Excellency President MC Ramaphosa, the cumulative number of COVID-19 cases in South Africa is 1,513,393 with 1168 new cases identified since the last report.",45,9,0,2021-02-28T19:38:21.000Z
1365973921946828800,@COVID_19_ZA,"""Get the vaccine to lower your risk of severe illness or risk your life,"" advises Dr Angelique Coetzee, Chairperson of the SA Medical Association. #IChooseVacciNation",31,22,0,2021-02-28T10:35:36.000Z
1365970513240203265,@COVID_19_ZA,"While the rapid rollout of the #COVID19 vaccine to healthcare workers continues, we must continue to stay safe and practice non-pharmaceutical interventions.",8,5,0,2021-02-28T10:22:03.000Z
1365744767796211723,@COVID_19_ZA,"The cumulative number of COVID-19 cases in South Africa is 1,512,225.",3,7,0,2021-02-27T19:25:01.000Z
1363550260803424256,@COVID_19_ZA,"A message from Father Michael Weeder, Dean of the St. George's Cathedral in Cape Town. #IChooseVacciNation",5,12,0,2021-02-21T18:04:50.000Z
1363537633792716801,@COVID_19_ZA,The NDOH and the Sisonke Programme have allocated one third of all vaccine doses available for private healthcare workers. This follows productive discussions between the department & the private sector.,2,5,0,2021-02-21T17:14:39.000Z
1363534912918274051,@COVID_19_ZA,#HealthSpotlight More than 10 thousand healthcare workers have been vaccinated since the start of the vaccine rollout in SA on Wednesday. Here’s a look at the arrival & launch highlights.,4,6,0,2021-02-21T17:03:51.000Z
1363488151600259075,@DrZweliMkhize,"Phakama Ngxokela, from the Pharmacy Department at Khayelitsha District Hospital in Cape Town, says the #Covid19 vaccine is important in protecting us from the virus. #IChooseVaccination",9,7,0,2021-02-21T13:58:02.000Z
1363516294079856641,@COVID_19_ZA,Sinovuyo Jiya is a secretary at Khayelitsha District Hospital in Cape Town. She urges her community to support the government and take the vaccine. #IChooseVacciNation,2,1,0,2021-02-21T15:49:52.000Z
1363218004784410625,@COVID_19_ZA,"The cumulative number of COVID-19 cases in South Africa is 1,502,367.",3,8,0,2021-02-20T20:04:34.000Z
1363144795066163201,@COVID_19_ZA,"Juanita Arendse, Chief Director for Emergency and Clinical Services Support in the Western Cape, encourages healthcare workers to get the vaccine, to protect themselves and their communities.",7,2,0,2021-02-20T15:13:39.000Z
1363144572868657155,@COVID_19_ZA,"""Take the #Covid19 vaccine to stay safe and protected from the virus"", says Jo-Annke Snyders from the Pharmacy Department at Khayelitsha District Hospital.",14,1,0,2021-02-20T15:12:46.000Z
1363125400608649217,@COVID_19_ZA,"A proud moment for the CEO of Khayelitsha District Hospital, at the country’s vaccine launch this week. David Binza says the vaccine is our only hope of getting immunity from the #Covid19 virus.",3,2,0,2021-02-20T13:56:35.000Z
1363124305492590594,@COVID_19_ZA,Reginald Memani is head of security at Khayelitsha District Hospital. Here he emphasizes the importance of taking the vaccine. #IChooseVacciNation,13,1,0,2021-02-20T13:52:14.000Z
1363050351457353732,@COVID_19_ZA,"Mubhashira Mohameda, Pharmacist at Khayelitsha District Hospital, encourages her fellow healthcare workers to get vaccinated to protect themselves and their loved ones. #IChooseVacciNation",3,1,0,2021-02-20T08:58:22.000Z
1363049860648337409,@COVID_19_ZA,"Businesswoman and member of the Ministerial Advisory committee for social behavioural change, Yamkela Makulpula, says vaccines will save lives, and together we can rebuild our economy. #IChooseVacciNation",10,7,0,2021-02-20T08:56:25.000Z
1363044609564229632,@COVID_19_ZA,"Sheila McCloen, Deputy Director for Comprehensive Health Programs at the Khayelitsha District Hospital, says the #COVID19 vaccine will help to keep her and her family safe. #IChooseVaccination",2,2,0,2021-02-20T08:35:33.000Z
1360956158291415042,@COVID_19_ZA,Pregnancy Awareness Week takes place in February each year and is a way to strengthen pregnancy education and stress important issues that promote a healthy pregnancy and safe motherhood.,0,2,0,2021-02-14T14:16:48.000Z
1360956093002899456,@COVID_19_ZA,"National Epilepsy Week seeks to raise awareness and educate the general public on epilepsy and the urgent need for improved treatment, better care, and greater investment in research.",0,1,0,2021-02-14T14:16:32.000Z
1360955773405298694,@COVID_19_ZA,"Dr Absalom Nkosi, cardiologist at Melomed Gatesville Hospital, says he’s ready for the #Covid19 vaccination. #IChooseVacciNation",16,0,0,2021-02-14T14:15:16.000Z
1360934292482904065,@COVID_19_ZA,"Director of HIV Prevention Programmes in the National Department of Health, Dr Thato Chidarikire, spoke to Newzroom Afrika about the Condom and STI Week Campaign aimed at educating people about sexual health.",1,0,0,2021-02-14T12:49:54.000Z
1360664650958962693,@COVID_19_ZA,"The cumulative number of COVID-19 cases in South Africa is 1,490,063.",0,5,0,2021-02-13T18:58:27.000Z
1360606292511965184,@COVID_19_ZA,Our pharmacists have contributed to essential patient care and well‐being of the public during the COVID‐19 pandemic. Anri Hornsveld from the PSSA tells us why she chooses to vaccination. #IChooseVacciNation,0,0,0,2021-02-13T15:06:33.000Z
1360581584328482819,@COVID_19_ZA,Healthcare workers at Charlotte Maxeke tell us how they think vaccines will impact on the spread of #Covid19. #IChooseVaccination,0,1,0,2021-02-13T13:28:22.000Z
1360302499551412230,@COVID_19_ZA,"The cumulative number of COVID-19 cases in South Africa is 1,487,681.",0,4,0,2021-02-12T18:59:23.000Z
1360278175507509256,@COVID_19_ZA,"The choice to vaccinate against #Covid19 is an ethical one, says Health Deputy Minister Dr Joe Phaahla. @healthza",13,1,0,2021-02-12T17:22:44.000Z
1360154544269889537,@COVID_19_ZA,Medical experts unpack the President’s announcements on South Africa’s #Covid19 vaccine strategy in an interview with Leanne Manas on SABC’s Morning Live. #SONA2021,0,0,0,2021-02-12T09:11:28.000Z
1359976030497361924,@COVID_19_ZA,"In his SONA this evening, President Ramaphosa announced the procurement of 12 million additional doses through the Covax scheme and another 20 million doses from Pfizer. #SONA2021",0,1,0,2021-02-11T21:22:07.000Z
1359975417562746883,@COVID_19_ZA,President Cyril Ramaphosa has confirmed that the first batch of the Johnson & Johnson vaccines against COVID-19 will land in South Africa next week. #SONA2021,0,2,0,2021-02-11T21:19:41.000Z
1359961057054363649,@COVID_19_ZA,"The cumulative number of COVID-19 cases in South Africa is 1,484,900 with 2488 new cases identified since the last report.",0,7,0,2021-02-11T20:22:37.000Z
