tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1618774660719718400,@kdurquiza,"#Covid19 has catalyzed a pandemic of grief that can only be lessened by recognizing our losses. Please join me in supporting @MarkedByCovid 's work to secure official #CovidMemorialDay and #CovidMemorials at city, state, and federal levels. >>>",2,40,"9,812",2023-01-27T00:55:29.000Z
1644521168349609986,@MarkedByCovid,George Edward Mckibben 4.14.43 - 4/7/20 “My dad was a hero and a trailblazer! He inspired so many students as one of the first black teachers in Clayton County Georgia. His positive spirit and pure joy for life has left a huge hole in many hearts.” http://MarkedByCovid.com/remember,1,4,"1,451",2023-04-08T02:02:54.000Z
1644505987737350145,@senorhettler,Thank you. And thank you for creating a space for folks to come together in grief and honoring the dead. I am planning to let her know about @MarkedByCovid to see if she would want to connect with other folks impacted by COVID.,0,1,"1,737",2023-04-08T01:02:35.000Z
1644491282704658436,@senorhettler,"He died yesterday. And her brother has COVID now, as well. Wild that hospitals are doing this to patients and their families. “Do harm” is the new slogan for most healthcare workers I guess.",29,360,38.1K,2023-04-08T00:04:09.000Z
1644471163597524993,@AngelaMSWinCA,THANK YOU ⁦ @KeckMedUSC ⁩ for protecting #HighRiskCovid and disabled people in your facilities by preserving masking indoors. I get weekly IV treatment for #LongCovid here and masks mean I can show up w/o undue fear & stress.,2,4,"1,199",2023-04-07T22:44:12.000Z
1644091874196750336,@fi_lowenstein,"Popping on here with a sweet reminder that you can sign up to gift or receive a gifted copy of The #LongCovid Survival Guide via our book exchange here: https://forms.gle/ejx7BGcqNbfXvQQf9… We've already sent out dozens of books and we want to send more, so share with your friends :)",1,16,"2,770",2023-04-06T21:37:03.000Z
1644008494826397696,@MarkedByCovid,#MarkedByCOVID,0,2,"1,693",2023-04-06T16:05:44.000Z
1643993260304793600,@MarkedByCovid,Arnold Kronfeld - 4.3.20 “He was loved.” Honor your loved ones lost to Covid with #MarkedByCovid's #NationalCovidMemorial: http://MarkedByCovid.com/remember,0,3,"2,728",2023-04-06T15:05:11.000Z
1644007357222105088,@kdurquiza,"Facts: real recognizes real. As I was speaking with a group of advocates re: #LongCovid & need for robust research, support, patient-led leadership, and awareness this message came in over chat. It was such a needed boost to my weary soul. @MarkedByCovid",0,0,609,2023-04-06T16:01:12.000Z
1644003571363618817,@kdurquiza,"#DavosSafe for me, not thee.",0,2,956,2023-04-06T15:46:10.000Z
1643909955576123392,@gingerthomp1,"His failure to report the flights appears to violate a law passed after Watergate that requires justices, judges, members of Congress and federal officials to disclose most gifts, two ethics law experts said. Stunning reporting here. ⁦ @propublica ⁩",467,"4,235",1.3M,2023-04-06T09:34:10.000Z
1643879351044427778,@kdurquiza,,2,3,"1,163",2023-04-06T07:32:33.000Z
1643627300829687808,@dreanyc123,Seriously. Abolition is about preventing & interrupting harm. Masks prevent & interrupt ongoing harms of 400 reported (likely much higher) COVID deaths/day & 1/4 chance of long COVID that increases w/each infection. We are never getting to abolitionist futures if we can’t do this,5,232,39.3K,2023-04-05T14:51:00.000Z
1643786019463114753,@loscharlos,"“Researchers have been able to narrow down the prevalence of #LongCovid to about 5-10% of children.” Some experts had estimated as little as 1%.. to 20%. “The truth is somewhere in between,” Dr. Roberta DeBiasi, Children’s National Hospital in Washington.",18,166,37.8K,2023-04-06T01:21:41.000Z
1643761666776248321,@kdurquiza,Are you Generation Z? Curious to know your take on this article and why you are or are not a milk drinker.,2,0,878,2023-04-05T23:44:55.000Z
1641083937828007936,@kdurquiza,The building was on fire and the guards walked away leaving dozens of people to die. This is cruel and unusual punishment at the hands of US immigration policy.,1,6,742,2023-03-29T14:24:35.000Z
1640686719396634628,@catladyactivist,"She raises a good point. A mask can definitely make you feel ""other"". I know. I'm the only person in a mask everywhere I go locally. But chronic illness makes you feel ""other"" permanently. And trust me, temporary social discomfort beats a permanent struggle. #COVID19 #MaskUp",5,75,"9,331",2023-03-28T12:06:11.000Z
1640462102719766528,@LauraMiers,"When people discover shocking “new” facts about the friendly pandemic virus we’re cheerfully “coexisting with,” you can bet the chronically ill & those of us who were already disabled by Covid have been aware of it for at least 3 years. The warnings were labeled “fear-mongering.”",40,526,64.1K,2023-03-27T21:13:38.000Z
1640386542509215750,@itvmeridian,Watch the first in a series of special reports by @staceypooleITV on the children living with Long Covid.,70,831,363.2K,2023-03-27T16:13:23.000Z
1640460622939791360,@RBReich,The NRA buys off Congress. No action on guns. The oil industry buys off Congress. No action on climate. Insurance companies buy off Congress. No action on health care. The list goes on... Money in politics is the root of our dysfunction.,"4,074",19.2K,1.5M,2023-03-27T21:07:45.000Z
1640398101658714131,@jackstelzner,Here’s @RepOgles and his family. He’s the Member of Congress who represents the Covenant School.,"1,586","7,148",1.6M,2023-03-27T16:59:19.000Z
1640406998108848143,@denise_dewald,America has always been about white men having their way.,7,6,981,2023-03-27T17:34:40.000Z
1640396971906338816,@AMarch4OurLives,"Three children shot and killed. As we wait for more details, our hearts are with the families and the community in Nashville. No child should go to school in fear of being shot. Adults are failing kids.",159,"1,498",621.6K,2023-03-27T16:54:49.000Z
1640119023529541634,@alyssaedes,Today someone asked me why I was wearing a mask. Was I just worried about a new variant? Was I vaccinated? He was shocked when I told him that: -60 percent of Americans dying from covid are vaccinated -it's the 3rd leading cause of death across age groups -covid never went away,65,"1,889",303.6K,2023-03-26T22:30:21.000Z
1640415490463117312,@kdurquiza,"Like most people, I don’t like to feel like an “other.” At the same time, I don’t want to get sick AND I believe that people who are disabled and immunocompromised belong. So the choice is easy and the Aura doesn’t bother my face while giving a snug fit. @MarkedByCovid",21,59,17K,2023-03-27T18:08:25.000Z
1639530077926072325,@nytimes,"Sixteen young people from Montana have sued the state, arguing that its support of fossil fuels violates the state Constitution that guarantees “the right to a clean and healthful environment.”","1,159","1,730",1.1M,2023-03-25T07:30:06.000Z
1639356492993433600,@SutroTower,"I heard people saying Salesforce Tower was the tallest structure in San Francisco. Sorry honey, but I'll always be the queen of the skyline.",5,43,18.5K,2023-03-24T20:00:20.000Z
1635947295056318464,@MisAchievement,"Long COVID Awareness Day. Because of Long COVID I cannot work, research, teach, or write within my academic field. This is my fourth year of Long COVID. I have not recovered. I want to regain my health and return to work. #LongCOVIDAwarenessDay #LongCOVID",128,425,58.5K,2023-03-15T10:13:24.000Z
1636037255092477954,@guustweet,"This is not what life at 25 should look like. I haven’t been able to leave the house for months. I miss the little things, I miss the big things. I miss living. This disease affects millions. We need more research now. #LongCovid #LongCovidAwarenessDay by Lin Woldendorp",52,379,44.9K,2023-03-15T16:10:52.000Z
1636110843070001153,@ECooperAuthor,"This is me just before #LongCovid. I was a world traveling, award winning writer and professor. I spent my days writing, having fun with friends, and being an active mom. Now, 3 years later, I can barely walk a 1/4 mile and have to lay down after I shower. #LongCovidAwarenessDay",68,477,80K,2023-03-15T21:03:17.000Z
1636066793516048385,@C19LH_Advocacy,It's International #LongCOVIDAwarenessDay! Tell us what #LongCOVID Awareness means to you! What awareness of Long COVID & its associated conditions (#LCAC) do you want to see in the world? Share a 1-2 min video or a few sentences describing what http://bit.ly/3FqoUDn… Show more,3,36,"6,279",2023-03-15T18:08:14.000Z
1636113200419844096,@kdurquiza,"My Mom has no balance: she falls over every day. 3 years & thousands of dollars later we still don't have answers. It started with Covid...along with fatigue, digestion issues... What's your #longCovid story? #LongCovidAwarenessDay @MarkedbyCovid",10,23,"5,395",2023-03-15T21:12:39.000Z
1636049773953441792,@mileswgriffis,Today is #LongCovidAwarenessDay This was my last solo backpacking trip before I got sick in 2020. I was 27 & walked 40 miles in two days. Now I’m lucky to make it through a half day of work. I’ve had two surgeries & am one of millions disabled by #LongCovid #ME,68,583,112K,2023-03-15T17:00:37.000Z
1635770460775550977,@MarkedByCovid,"Dear @PeoplesCDC : How do we contact you? Sincerely, The People [Context: Over the past several months, we've submitted several inquiries via your ""contact us"" form, info@ email, and more...but no response.]",1,5,"2,314",2023-03-14T22:30:43.000Z
1635362135567118336,@RepBowman,. @POTUS is making the wrong decision approving the Willow Project. Our beautiful federal lands and indigenous communities will be harmed when they need to be protected. It's time we plan for the clean energy future instead of continuing on the path of fossil fuels.,394,242,25.5K,2023-03-13T19:28:11.000Z
1631741922976079872,@_jadebegay,". @SecDebHaaland has been an incredible champion for Native issues & our leadership. That said, Native ppl must be treated w/ equity & the Native Village of Nuiqsut has made their position clear, they do not consent on the Willow project. @Interior must listen & #StopWillow",34,837,92.2K,2023-03-03T19:42:45.000Z
1635309104368582657,@SenMarkey,I am with all the advocates who oppose this disastrous decision to approve the Willow Project and will continue fighting alongside them to put our people and our planet ahead of Big Oil profits.,225,363,65K,2023-03-13T15:57:27.000Z
1635296673638526977,@SenMarkey,. @POTUS is wrong. The approval of a massive oil development project on federal lands is a mistake we will regret for generations. The Willow project’s devastating consequences will be suffered by all of us. We must move forward not backward.,650,"1,858",481.9K,2023-03-13T15:08:03.000Z
1635333109507063808,@RepRashida,". @POTUS pledged to end new drilling on federal lands. This disastrous decision to approve the Willow Project in Alaska, one of the largest oil development projects in decades, will have devastating consequences on our planet, frontline communities, and wildlife.","1,062","1,556",458.8K,2023-03-13T17:32:50.000Z
1632920831474159618,@SarahLerner,. @kdurquiza : No sitting President or Governor has met with a delegation of the COVID-bereaved. #CovidMemorialDay,1,16,"2,383",2023-03-07T01:47:19.000Z
1632919177932709888,@SarahLerner,"Those in power have normalized mass death from COVID, but if there was more room to grieve & hear surviving loved ones’ stories, perhaps there wouldn’t be so much societal numbness, apathy & eroding compassion. This #CovidMemorialDay online vigil is heartbreaking and powerful.",1,41,12.1K,2023-03-07T01:40:44.000Z
1632916425039020032,@SarahLerner,“Sharing our stories connects us all in healing.” #CovidMemorialDay @MarkedByCovid,1,6,"2,248",2023-03-07T01:29:48.000Z
1632916082897068033,@SarahLerner,"“I feel like I’m in a nightmare, and I haven’t woken up yet.” —Dale from Alabama #CovidMemorialDay @MarkedByCovid",1,6,"1,944",2023-03-07T01:28:26.000Z
1632914591306104832,@SarahLerner,. @EdMarkey : “This pandemic is not yet over in the U.S. or across the world.” “We have to continue to build in the protections.” #CovidMemorialDay @MarkedByCovid,1,14,"2,340",2023-03-07T01:22:31.000Z
1632914116548653057,@SarahLerner,". @EdMarkey speaking so much truth: “The fight for health justice and climate justice must be intertwined.” He emphasizes the disproportionate injustices of this pandemic, addresses Long COVID, and talks about the need to center the most vulnerable. #CovidMemorialDay",1,8,"2,055",2023-03-07T01:20:38.000Z
1632912023418986497,@SarahLerner,Appreciate seeing @SenWarren in @MarkedByCovid ’s online vigil on #COVIDMemorialDay — we need more leaders to acknowledge the grief & pain of the millions of lives lost & changed by this ongoing pandemic.,2,22,"5,255",2023-03-07T01:12:19.000Z
1632922476253675520,@SarahLerner,. @kdurquiza : “Solidarity is simply turning care into action.” #CovidMemorialDay,0,7,"2,141",2023-03-07T01:53:51.000Z
1632929625998344198,@outgrained,“Solidarity is just turning care into action.” - @kdurquiza at tonight’s @MarkedByCovid #CovidMemorialDay vigil,0,10,"1,279",2023-03-07T02:22:15.000Z
1632928497046896642,@OtheFarm,This was deeply moving. Please help support a #CovidMemorialDay . The current Congressional push is for the first Monday in March. Follow the links to see how you can help shepard it through.,0,2,"2,068",2023-03-07T02:17:46.000Z
1632879404320948226,@RepGregStanton,"Join me in a virtual vigil tonight at 6pm AZ time. In order to heal, we must remember and mark our losses.",3,12,"3,729",2023-03-06T23:02:42.000Z
1632802474280067080,@OZ01027,"Last week Easthampton, Northampton, and Amherst city councils all passed resolutions in support of a statewide Covid Memorial Day. This supports HD.3821 sponsored by State Representative @MindyForMA and @repblais and supported by @MarkedByCovid",1,11,"1,940",2023-03-06T17:57:00.000Z
1632850685149470721,@senorhettler,I encourage you to sign up for the zoom COVID Memorial Day tonight at 8 pm eastern. Spend some time honoring all those we’ve lost in the past three years. I know it’s hard to think about but healing can only begin when we face these ongoing tremendous losses.,0,22,"3,455",2023-03-06T21:08:34.000Z
1632853418413813760,@Derek_a_Franks,"Tonight. Vigil for #CovidMemorialDay. Appearances by @ewarren and others. Let’s show up for people suffering from Long Covid, vulnerable people, and all those who have lost someone. #CovidIsntOver",3,14,13.1K,2023-03-06T21:19:26.000Z
1632867816545169410,@ColleenBoland,#CovidMemorialDay online vigil. Tonight (8 pm ET.) @MarkedByCovid @kdurquiza,0,5,"1,516",2023-03-06T22:16:39.000Z
1631582493173506049,@MarkedByCovid,AND!!! @GovernorHobbs will be the first gov in the nation to formally observe #CovidMemorialDay and attend an event spearheaded by the Covid-bereaved community when she joins us at the @AZHistSociety on Monday. https://docs.google.com/forms/d/e/1FAIpQLSdqBwC2USGqpBup1m7MdlEUGnXplkjFoKLHYxFFmyhq1l58Zw/viewform…,1,4,534,2023-03-03T09:09:14.000Z
1631582491906801664,@MarkedByCovid,". @SenWarren & @RepGregStanton will also re-introduce legislation to recognize #CovidMemorialDay on the 1st Monday of March... ...This time, with bipartisan support to ensure that remembering our loved ones doesn’t become a political football. https://washingtonpost.com/dc-md-va/2021/07/31/covid-memorial-day-congress-victims/…",1,4,515,2023-03-03T09:09:14.000Z
1631576137871790080,@MarkedByCovid,"Millions of people in this country have lost loved ones to Covid, and hundreds more continue to join their ranks each day. This is the first time that leaders of this stature will participate in a community-driven Covid memorial event.",1,4,660,2023-03-03T08:43:59.000Z
1631547570353831938,@MarkedByCovid,"RSVP now for @MarkedByCovid 's 3rd annual #CovidMemorialDay ONLINE VIGIL. Hear from legislative champs @SenWarren and @RepGregStanton alongside activists, memorial-makers, and more. *Allies, please join in solidarity. MONDAY 3/6/23 at 8pm Eastern: http://covidmemorialday.org/vigil",3,57,16K,2023-03-03T06:50:28.000Z
1296964905069883393,@riseandresistny,Marching through Flatbush earlier. On Bridge now #MarchForTheDead #MarkedByCOVID,4,116,0,2020-08-22T00:18:24.000Z
1629521472619159553,@MarkedByCovid,"Irene Cordova 11.22.54 - 2.7.22 “My lovely older sister. Heaven gained a beautiful Angel. We will miss you, sister. ” Honor your loved ones lost to Covid with #MarkedByCovid's #NationalCovidMemorial: http://MarkedByCovid.com/remember",0,4,"1,247",2023-02-25T16:39:28.000Z
1629130625083928582,@senorhettler,"The group @MarkedByCovid is pushing for a COVID Memorial Day the first Monday of March. This year it falls on Monday, March 6th and they will have a virtual rally. You can make your own video or post sharing how you have been #MarkedByCovid and help amplify their important work.",1,35,"3,023",2023-02-24T14:46:23.000Z
1631525390668939270,@shelleyjules,#CovidMemorialDay March 6,0,6,"1,863",2023-03-03T05:22:20.000Z
1631414310478966785,@jaylivingstone,Yesterday I was proud to join advocates from @MarkedByCovid and support @MindForMA and @repblais legislation to mark the first Monday in March “COVID Remembrance Day”. TY @DJVersailles and @jritzsullivan for your advocacy around this important topic.,2,6,"1,135",2023-03-02T22:00:56.000Z
1631515115815309312,@MarkedByCovid,BIG NEWS: Senator Liz Warren & Representative Greg Stanton are on board! Join our virtual #CovidMemorialDay vigil on 3.6.23 to hear directly from our legislative champions.,1,10,"2,321",2023-03-03T04:41:30.000Z
1631492766814593029,@senorhettler,Thank you @kdurquiza and @MarkedByCovid,0,5,"2,699",2023-03-03T03:12:41.000Z
1630655187642875904,@kdurquiza,"And if you can't give time or can't convince your organizational overlords to give a damn, give a donation to sustain this work. We are 100% funded by individuals which allows us to be fierce, independent, anti-partisan >>> (18/ https://secure.actblue.com/donate/mbc_activists?refcode=KristinU…",1,6,"1,668",2023-02-28T19:44:27.000Z
1630655186170699776,@kdurquiza,If you're a public health or other medical professional join our growing list of supporters >>> https://docs.google.com/forms/d/e/1FAIpQLSdhLXLRPMFI1HDMdubhixOWJPYscCDFSrrc7xyVT8eunwtR_Q/viewform… (17/,1,6,698,2023-02-28T19:44:27.000Z
1630655183670894593,@kdurquiza,Ask your organization to endorse the letter! Get on message with us. This is not the time for a thousands flowers to bloom. It's the time to get in formation. (16/ https://docs.google.com/forms/d/e/1FAIpQLSdluGygXcUYg4wtWfytAMckfcweiH7ikB4an_usFEvKyNMRwg/viewform?usp=send_form…,1,6,712,2023-02-28T19:44:26.000Z
1630655170454618113,@kdurquiza,And support the people who are leading the way. Step Two: Come to a Marked By Covid Community Meeting to meet the bereaved and plug into our work around covid remembrance and justice. (15/ https://markedbycovid.zoom.us/meeting/register/tZcqcOChqjstEtLlxxnAfMvrBp56AYS6Vs9K…,1,4,680,2023-02-28T19:44:23.000Z
1630655136006803456,@kdurquiza,"Yesterday, @MarkedByCovid led a local delegation of people to #SF City Hall @sfgov @LondonBreed to deliver our open letter on the ending public health emergency directly to law makers. Here's why, what happened, and how you can help: (1/",3,34,17.4K,2023-02-28T19:44:15.000Z
1630655159327129601,@kdurquiza,A delegation of activists descended upon City Hall yesterday to bring our concerns directly to lawmakers and deliver our open letter to each office. Multiple offices expressed appreciation and asked if this had anything to do with the calls they've been getting (YES!) (13/,1,11,"2,429",2023-02-28T19:44:20.000Z
1630655165761220609,@kdurquiza,"Change is possible, folks. We don't have to settle for this. It's only possible though if you show up. Step One>>>Take Action>>>We made it easy! http://MarkedByCovid.com/DearSF (14/",1,4,687,2023-02-28T19:44:22.000Z
1630580150239674368,@jritzsullivan,"Tomorrow, four Massachusetts @MarkedByCovid bereaved activists will head to Beacon Hill with members of @MassCOSH to talk to lawmakers in MA about the need to honor the people we lost to COVID-19 on the first Monday in March. Please show your support.",0,9,"1,875",2023-02-28T14:46:17.000Z
1630235168614289409,@Jeanne5082,San Francisco,0,1,863,2023-02-27T15:55:27.000Z
