tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1644354456203534336,@TheRustler83,53 million people in the UK took a COVID vaccine they didn’t need 40 million were stupid enough to take a 3rd dose - even after the Government told them it didn’t work 1.5 million of them are dead now,227,"1,622",176.4K,2023-04-07T15:00:27.000Z
1643513245863387137,@TCovid1984,"Remember #TiffanyDover? the nurse who suddenly collapsed before it was cool to do so? She's still missing. According to pro-vaxxers, she took a break from social media because of the stress. Well, it's been 2 years of break and no sign of her.",528,"4,535",764.6K,2023-04-05T07:17:47.000Z
1644226481013547008,@MakisMD,"Savannah, GA - 35 year old ObGyn doctor Jessica Mullinix died of breast cancer ""was forced to end her practice in Nov.2022 after learning her cancer had metastasized"" It is crucial to know when she had her COVID-19 mRNA vaccines and if they caused her cancer to metastasize.…",199,"1,531",243.7K,2023-04-07T06:31:55.000Z
1644430407176429568,@MakisMD,"18 year old Maisy Jada Woods died suddenly in her dorm room at Portland State University on Nov.21, 2021 Her mother was a COVID-19 mRNA vaccine believer. Parents who were tricked by Pfizer or Moderna must wake up and speak out to save other kids! #Diedsuddenly #cdnpoli #ableg",57,976,37.9K,2023-04-07T20:02:15.000Z
1644457286965030913,@MakisMD,"24 year old medical student in Bury, UK died suddenly in March, 2023 He died from a sudden cardiac arrest, in his sleep. This is the youngest COVID-19 mRNA vaccinated doctor death I have recorded in my files so far #Diedsuddenly #cdnpoli #ableg",54,855,28.9K,2023-04-07T21:49:04.000Z
1644514178718203906,@catladyactivist,This is what carrying 100% of the social responsibility by yourself looks like. This medical facility and the other patients in it don't care enough to keep her safe from #COVID which could disable or kill her. And MAGA Michelle takes a photo like the masked lady is the problem.,42,303,41.9K,2023-04-08T01:35:08.000Z
1644579347913904129,@KimWever3,3 year Delta - What is the primary benefit to keep public in mass-hysteria re: COVID-19? Think voting. Are you awake yet?,1,5,186,2023-04-08T05:54:06.000Z
1644505361704185856,@AllBiteNoBark88,"Remember the tabled Bill in NSW that would force businesses who mandated Covid-19 vaccines to pay Compensation for LIFE (even after leaving) for vaccine injuries? It PASSED. These companies faced a $200,000 Govt fine if they did not mandate jabs. It doesn't get anymore Criminal.",22,254,12.6K,2023-04-08T01:00:06.000Z
1644048456200122380,@yassnito,why are they kinda giving society before and after covid,20,839,225.8K,2023-04-06T18:44:31.000Z
1643678685386403840,@purple4_u,seriously fck covid,43,318,51.2K,2023-04-05T18:15:11.000Z
