tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1641376196758847489,@PTRUMPFORTX2020,Facebook is in BIG TROUBLE It has just been discovered that the Facebook Covid vaccine Fat-Checkers are funded by vaccine companies. SHARE SHARE SHARE!,323,"9,832",601.9K,2023-03-30T09:45:55.000Z
1644470181060571137,@catsscareme2021,"Published on Mar 31, 2020 ""I am a physician who has been working at the bedside of COVID+ patients in NYC. I believe we are treating the wrong disease and that we must change what we are doing if we want to save as many lives as possible. I welcome any feedback, especially…",99,629,95.7K,2023-04-07T22:40:18.000Z
1644420507897327661,@cotupacs,26% higher mortality rate for the vaccinated Knew it was bad. Didn’t think it would be this bad. #vaccines #Covid #VaccineDeaths,16,636,16.7K,2023-04-07T19:22:55.000Z
1642265870918471681,@VaxFreeSperm,The COVID Vaccination Campaign Was a Huge Military Operation #DepopulationAgenda #COVID19 #DiedSuddendly #VaccineGenocide #Agenda2030 #AlexJonesWasRight #VaccineMandate #FauciLied,7,82,"9,192",2023-04-01T20:41:10.000Z
1644444075633037312,@Jennifer_Arcuri,Pfizer loses in the UK Court case over misleading information about Covid vaccine safety Amazing news @UsforThemUK,99,"2,619",151.7K,2023-04-07T20:56:34.000Z
1642184518885953556,@BernieSpofforth,INDIA - The Pfizer Covid vaccine is not available in India. Now you know why,150,"3,252",268.3K,2023-04-01T15:17:54.000Z
1642399014569082880,@detectfights,Everybody fighting each other and the cameraman fighting Covid,150,"1,160",646.7K,2023-04-02T05:30:14.000Z
1642645702999154689,@catsscareme2021,Now that Bill Gates has cashed out his COVID vaccine stock for over $500 million he is now claiming that COVID vaccines are problematic. jimmy_dore calls him out on his new venture. It’s not about health or science. It’s about profit.,31,567,29K,2023-04-02T21:50:29.000Z
1644444630895800321,@DrEliDavid,Neil deGrasse Tyson on Covid: “I'm not interested in what these scientists say. I'm interested only in the ‘scientific consensus’” Covid helped us see that so many of these public faces of science are in fact as anti-scientific as one can be...,145,272,38K,2023-04-07T20:58:46.000Z
1641494969935355917,@RepMTG,"Today, the GOP-led House sent a resolution to Joe Biden’s desk to officially END the COVID-19 state of emergency. COVID IS OVER!!","6,876","6,488",1.5M,2023-03-30T17:37:52.000Z
1644238139160948736,@wideawake_media,"""Covid-19 deaths"", before and after the roll out of the experimental mRNA injections. #VaccineDeath #VaccineGenocide #VaccineInjuries #DiedSuddenly #CrimesAgainstHumanity #Nuremberg2",74,891,58.7K,2023-04-07T07:18:15.000Z
1642545321216466944,@ChuckCallesto,"KENNEDY JR: If Fauci or anybody had admitted that hydroxychloroquine or ivermectin are effective against COVID, it would have been ILLEGAL FOR THEM to give the emergency use authorization to the vaccines, and they could have never gotten them approved.",285,"4,725",564.7K,2023-04-02T15:11:36.000Z
1644151902794559488,@KariLake,"My daughter said to me, ""I think I could have been a good track runner. I really think I could have done well, Mom. But Covid just ended athletics."" Politicians and bureaucrats stole years and precious moments from our children's lives. I will NEVER forgive them for that.","3,621","2,102",359.2K,2023-04-07T01:35:35.000Z
1644365362946002944,@haobinsplanet,i was in 6th grade when covid broke out …….6th grade?,1,59,"4,997",2023-04-07T15:43:48.000Z
1643032911996755968,@spotlightoncn,"Many China’s field hospitals abandoned, wasting tens of billions in investments It has been several months since China scrapped its Zero-COVID policy, however gigantic quarantine facilities designed to house hundreds of thousands of Chinese remain standing, and it raises…",33,127,41.9K,2023-04-03T23:29:06.000Z
1641832233672777734,@gc22gc,"Steve Bannon has only missed 2 live shows in 3.5 years. Once bc he caught covid & the second was yesterday after visiting East Palestine, Ohio. Steve had told me yesterday he would try to get through at least the evening show, but he was sick as a dog. He is feeling much…",62,833,180.9K,2023-03-31T15:58:02.000Z
1644339959074021376,@ManoGov,"#GainofFauci. More than a billion people took medical advice from #fauci. ""Mask up"", he said, as he picked a booger to test (or is that taste) if he had #covid. #vaccinegenocide #masks",20,71,10.4K,2023-04-07T14:02:51.000Z
1644566489305956354,@nowthisnews,A woman who had lost her senses of smell and taste due to long COVID got to taste coffee again for the first time in 2 years. 54-year-old Jennifer Henderson regained her senses thanks to pain injections from the Cleveland Clinic.,4,46,24.8K,2023-04-08T05:03:00.000Z
1641517766980124672,@bambkb,"This French MP got the #Covid #Vaccine and then developed heart problems, he had 4 consecutive surgeries shortly after to keep him alive He claims “What I did NOT KNOW was that most MP’s, including the French president, Emmanuel Macron are not vaccinated” So…",41,"1,114",84.8K,2023-03-30T19:08:28.000Z
1642595306616377345,@VidmaxMedia,Robert F. Kennedy Says the COVID Vaccines Were a 'Huge Military Operation' #COVID #covidvaccines #VaccineDeath #vaccineinjuries #CrimesAgainstChildren #CrimesAgainstHumanity #Nuremberg2Now,15,127,"9,604",2023-04-02T18:30:13.000Z
1644274696438038528,@AussieVal10,"Video is from 15/7/2021 - 15 cases - 5 day lockdown announced. TODAY, Victoria, week ending 7 April 2023 (7 day report): - 5,772 cases - 183 in hospital, 9 in ICU - 20 deaths. 97% double jabbed. Do vaxxed covid cases not overwhealm our hospitals?",48,113,25.6K,2023-04-07T09:43:31.000Z
1644099578772484098,@GeoRebekah,I'm still waiting for my son's release. Everything my son has struggled with these last two years came from DeSantis personally targeting my family for blowing up his COVID success story lie. He was 11 years old when he was held up at gunpoint by police on DeSantis' orders.,125,"1,875",302.8K,2023-04-06T22:07:40.000Z
1642222300463235075,@TheChiefNerd,"Robert F. Kennedy Jr & Sasha Latypova Say the COVID Vaccines Were a 'Huge Military Operation' ""The involvement of the drug companies is kind of window dressing...they essentially paid the pharmaceutical companies for their brand name so people would think they were getting…",110,"2,010",330.2K,2023-04-01T17:48:02.000Z
1643304995872202759,@KathMLee1,Never forget that the LA Sheriff's Department went to group homes and administered covid to intellectually disabled people.,576,"2,897",194.2K,2023-04-04T17:30:16.000Z
1642408591931101185,@KanekoaTheGreat,"#2 @JoeRogan and @ShellenbergerMD discuss how the COVID-19 censorship and Fauci's lies about the safety and efficacy of the mRNA vaccines were for maximizing pharmaceutical profits: ""You're a f**kin liar. People have died that have been vaccinated. They've died from COVID. They…",55,652,125.8K,2023-04-02T06:08:17.000Z
1643600672070172678,@TheRedactedInc,They were researching Covid where?,52,448,29.6K,2023-04-05T13:05:11.000Z
1644575229212237826,@DrSwatiShow,Sudden Heart Attacks & COVID Connection @aajtak What studies say !,2,2,124,2023-04-08T05:37:44.000Z
1644215853431373825,@LibertyMutual8,This was uncomfortable to watch. Look how the foreheads and arms are glowing? No doubt that the Covid vaccine is laying the digital infrastructure out for the mark of the beast to one day occur. #Agenda2030 #NWOAgenda2030,18,181,40.8K,2023-04-07T05:49:42.000Z
1644512044018966533,@jasonrantz,Renegade barber Bob Martin in Snohomish WA refused to close down during COVID and the Left is still coming after him. He explains why he won’t back down on @TuckerCarlson Tonight — with a special Easter egg guest.,27,106,12.3K,2023-04-08T01:26:39.000Z
1641440501101641730,@TheChiefNerd,"NEW – The WHO Now Says COVID Vaccines Are Not Recommended for Healthy Kids and Teens ""When it comes to 6 months of age and up to 17 years of age, it's not recommended for most young teenagers"" @DoctorJanette",343,"1,720",246.3K,2023-03-30T14:01:26.000Z
1642171533551345666,@RBReich,"In 1980, 62 cents of every dollar spent on beef went to ranchers. Today, only 37 cents do. During COVID, beef prices rose by nearly 16%. Meanwhile, the 4 biggest beef companies’ profits rose more than 300%. The meat monopoly is nothing short of a nationwide crisis.",244,"1,461",104.5K,2023-04-01T14:26:18.000Z
1644423660474646528,@YouMayCallMeJay,WATCH: Covid-19 deaths before and after the roll out of the experimental mRNA injections.,1,4,153,2023-04-07T19:35:27.000Z
1643819626600730625,@michaelpsenger,Anthony Fauci: “There will absolutely be an outbreak of another pandemic. It may be next year.” I’m old enough to remember when COVID was supposed to be our “once-in-a-century pandemic.”,430,907,268.9K,2023-04-06T03:35:14.000Z
1642953162683187202,@AndersonAfDMdEP,"|In the meeting of the official #EU-#COVID Special Committee, I debunk the @EU_Commission 's next #Corona lie. The alleged 20 million lives saved are from ALL vaccines, not just C19 #mRNA vaccines! Watch my video to the end. It's worth it!",137,953,91.2K,2023-04-03T18:12:13.000Z
1644309058470526976,@AntonioSabatoJr,"Covid-19 deaths"", before and after the roll out of the experimental mRNA injections. #VaccineDeath #VaccineGenocide #VaccineInjuries #DiedSuddenly #CrimesAgainstHumanity #Nuremberg2",44,403,27.6K,2023-04-07T12:00:03.000Z
1644560841780658176,@4ltedits,see now why did covid bring us his greatest hits,6,3,"1,219",2023-04-08T04:40:33.000Z
1642446828196216832,@KanekoaTheGreat,#10 Silence: The story of COVID vaccine victims by @stkirsch Vocals by COVID vaccine injured Julie Elizabeth. Thank you to those of you who have been courageous & compassionate & given a voice to those were silenced by big tech & big government for being injured by big pharma.,30,425,48.4K,2023-04-02T08:40:13.000Z
1641499330484862976,@RepGregSteube,Biden’s White House & federal agencies executed pressure campaigns directing Big Tech to remove COVID-19 information that the Left disagreed with. Mr. Sauer called it what it is – viewpoint discrimination. This is a direct violation of our First Amendment rights.,95,285,23.3K,2023-03-30T17:55:12.000Z
1642413034462384129,@KanekoaTheGreat,#6 @JoeRogan says the government financially incentivizing doctors to use ventilators and certain medications and to overcount COVID deaths has changed his view of the medical system and the world.,44,703,119.3K,2023-04-02T06:25:56.000Z
1644545988651110402,@UngaTheGreat,The Disturbing Truth: COVID-19 Vaccines and Unexplained Blood Clots” “… we should lobby Congress to actually establish a moratorium on these vaccines on the whole mRNA technology and the lipid nanoparticle delivery system until Big Pharma can actually absolutely prove to us…,0,31,"1,223",2023-04-08T03:41:32.000Z
1642676431497854983,@VigilantFox,"Watch @AndersonAfDMdEP Make EU COVID Special Committee Sweat: How Many Deaths Per Doses Administered? ""If you can't provide the numbers off the top of your head, I would have to conclude that you simply don't care — or you're still working for the EFPIA, one of the lobby…",240,"3,506",432.9K,2023-04-02T23:52:35.000Z
1644433361975275546,@JohnStossel,"I just caught Covid, and it was scary. Covid kills old people. And I’m old! Past the normal life expectancy of a man. I really thought I might die. But I got better and started reporting what was happening to me.",58,71,34.2K,2023-04-07T20:14:00.000Z
1643938463685783552,@karma44921039,"In a secret presentation to the CIA, Bill Gates is talking about different parts of the brain and how they can be controlled with drugs AND VACCINES !!! Now tell me that the experimental covid jabs were not brought in for this exact purpose. This was planned ...",66,"1,120",62.1K,2023-04-06T11:27:27.000Z
1641681835057983488,@wolsned,Covid was the planning and investment stage. A simulation. The real thing is still to come.,51,447,34.2K,2023-03-31T06:00:25.000Z
1642016873687445504,@Edwin07011,"Dr. Paul Marik: ""The data actually shows that if your vitamin D level is above 50 ng/ml...that your chances of dying of Covid are close to zero."" Yet anyone advising that during the Plandemic, were written off and silenced!",2,28,"1,568",2023-04-01T04:11:44.000Z
1644096230589452294,@DrAseemMalhotra,"This 2 minute clip sums up the pandemic of misinformation on the covid mRNA vaccine affecting politicians, the media & then the public, ‘The general population don’t know what’s happening and they don’t even know that they don’t know’",112,"1,312",141.1K,2023-04-06T21:54:21.000Z
