tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1437516456703365122,@MythicalChef,Pinned tweet.,29,19,0,2021-09-13T20:40:05.000Z
1644054083219890177,@MythicalChef,techno viking,11,16,30K,2023-04-06T19:06:53.000Z
1644018685139636224,@MythicalChef,"The first ever Fancy Fast Food, a $205 Big Mac made with American wagyu ribeye and uni special sauce, was 5 years ago. Pretty crazy how time flies.",21,21,89.5K,2023-04-06T16:46:13.000Z
1643479423285604352,@MythicalChef,"Eating king crab fried rice and drinking wine in an alley. Pretty damn good for a Tuesday, I’d say.",22,4,44.9K,2023-04-05T05:03:23.000Z
1643310518676131841,@MythicalChef,"This is a very cool thought experiment! I get gender euphoria from 1) crushing weights in the gym (certainly not for everyone, but I enjoy it) while not being a stereotypical dickhead, and 2) forgoing my own comfort for the comfort, happiness, and/or safety of someone else.",16,39,101.1K,2023-04-04T17:52:13.000Z
1636148847260106752,@MythicalChef,"Unfortunately, I am dead. Fortunately, the hilarious folks at @smosh roasted the shit outta me and gave me the best funeral send off I could ever imagine.",33,25,56.4K,2023-03-15T23:34:18.000Z
1636150488323465217,@MythicalChef,"You can watch the whole video here, and see why I had to physically bite my hand to stop myself from laughing when @arashalalani was doing her bit",4,2,21.2K,2023-03-15T23:40:49.000Z
1636150852762349568,@MythicalChef,actually though,0,1,15.1K,2023-03-15T23:42:16.000Z
1635820977597878272,@MythicalChef,Hey @Mythical please let me play the international darts game,64,50,120K,2023-03-15T01:51:27.000Z
1635822533789511680,@MythicalChef,"For more than 5 years, I’ve produced the episodes, I’m cooked for them, and I’ve squeezed into @ChaseHilt ’s sexy open shirt for them. But I’ve never gotten to play. I wanna play, dammit!",52,8,44.3K,2023-03-15T01:57:38.000Z
1635793367174098945,@MythicalChef,Tuned into the Mythical 24/7 channel on Roku just in time to watch @trevorevarts absolutely bungle it and spill a bunch of evaporated milk. Good times man. Anyways pretty wild that we got a TV channel now!,17,31,70.2K,2023-03-15T00:01:44.000Z
1635795023022419969,@MythicalChef,"Seriously big shoutout to all the people at @Mythical who made this happen that you DON’T see on screen. Maybe next time we’ll have SVP of business development Neel cook against me and Nicole! Yeah you can broker deals for linear streaming, Neel, but how’s your meatball game???",5,5,21.5K,2023-03-15T00:08:19.000Z
1635322235421597698,@MythicalChef,REGIONAL SNACK-IT BRACKET round 1 is live! Make your voice heard. I got Zapp's going all the way because those Voodoo chips are ridiculous.,6,0,36.9K,2023-03-13T16:49:38.000Z
1634325004493131776,@MythicalChef,"In honor of our new series, Aprons Off, debuting today, here is a picture of 12 year old me. Like it or not, this is what peak male performance looks like.",32,33,91K,2023-03-10T22:47:00.000Z
1634326147466158080,@MythicalChef,"Me @trevorevarts and @NHendizadeh are tasting and ranking each other's childhood school lunches! I've been told mine is sad! But tbh anytime I was eating I was happy so, like, pretty grateful for that y'know!",5,1,17.9K,2023-03-10T22:51:32.000Z
1633966023794647040,@MythicalChef,"We have a VERY SPECIAL new episode coming out TOMORROW which is a FRIDAY. And, if you will notice, it is our THIRD video this week, and we will be DOING that INDEFINITELY. Very excited for this new format, please watch",41,45,190.7K,2023-03-09T23:00:32.000Z
1633890700537233409,@MythicalChef,"Hey y’all, friend of MK and jacked kitchen god @RobertIrvine has a new episode of #RestaurantImpossible out tonight where he’s saving a Michigan restaurant and repairing a marriage in the process. Show some support and tune in at 8|7c. I’ll be watchin' with you",4,9,31.5K,2023-03-09T18:01:13.000Z
