tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1642244650785443840,@chefjoseandres,"One year ago.. just after the cities Bucha & Irpin were liberated, with @WCKitchen I joined @markushyn to reach families here. It was the day we and the whole world saw the worst horrors we could ever imagine… but somehow at the same time I also saw hope. Hope from Ukrainians",23,471,117.1K,2023-04-01T19:16:50.000Z
1644647230870024192,@maria_drutska,A Jewish president thanks his Islamic warriors for protecting and defending their shared homeland during Ramadan. I am proud to be Ukrainian.,148,"1,101",410.6K,2023-04-08T10:23:50.000Z
1644764261569249284,@IBMSports,Using My Group to watch #TheMasters? Make sure to turn on AI Narration to follow all the action with spoken commentary! How’d we do that? Check out https://ibm.co/43t9jO2,29,70,2.3M,2023-04-08T18:08:52.000Z
1644556874413494273,@chefjoseandres,Collin has great integrity and played that ball movement “by the book”…. @TheMasters,0,5,66.9K,2023-04-08T04:24:47.000Z
1644447679563411456,@KyivIndependent,Zelensky honors Muslim tradition by participating in first 'official' iftar. President Volodymyr Zelensky announced on April 7 that Ukraine was beginning a new tradition of hosting official iftar meals during Ramadan.,330,"1,586",966.3K,2023-04-07T21:10:53.000Z
1642244754648756227,@chefjoseandres,"And now, 1 year later this how WCK #ChefsForUkraine supports families. After liberations across Ukraine, people don’t have power, gas, water… so we adapt each time! We can’t forget the horrors in Bucha, Irpin.. we came together then & must stand together with Ukraine now too",8,126,40.1K,2023-04-01T19:17:15.000Z
1642244740941856768,@chefjoseandres,"When we arrived if people had food, they were only cooking outdoors.. infrastructure was destroyed so everyone had to do whatever they could to. This was next phase for @WCKitchen response… meals from restaurant partners, water &ingredients to people living in these conditions.",23,229,221.5K,2023-04-01T19:17:12.000Z
1641917742411558915,@VinceWaelti,Sigourney Iowa tornado moments ago @brandoncopicwx @radaromega live now http://seethestorm.com,30,654,213.2K,2023-03-31T21:37:49.000Z
1641876899839238147,@Acyn,Governor Tate Reeves thanks President Biden during his remarks in Mississippi,233,"1,037",485.6K,2023-03-31T18:55:32.000Z
1641911439395901444,@chefjoseandres,Let’s hope everyone is ok in Little Rock! @WCKitchen has been on the ground helping people in Mississippi with previous tornadoes and I know they are following this closely…,15,132,79.6K,2023-03-31T21:12:47.000Z
1641796970514718722,@IAPonomarenko,"A year ago. The Battle of Kyiv was over, and we were about to discover the horror of Bucha.",91,789,276.2K,2023-03-31T13:37:55.000Z
1641863227658100747,@markushyn,"From now on, another point of memory in Irpin is the ""Central"" park. Today, a stele was unveiled here to the famous Ukrainian actor, TV presenter, public figure and volunteer Pasha Lee. It was made and installed at the expense of Pasha's friends and acquaintances and benefactors",6,42,27.4K,2023-03-31T18:01:12.000Z
1641866064265895956,@chefjoseandres,Listen if you care about mass shootings children dying and guns! Nobody is fighting the right of every American to own guns..I support it…but also is to support regulation of arms that belong only to military…,13,253,57.1K,2023-03-31T18:12:28.000Z
1641667034722316288,@chefjoseandres,"I laugh, then I cry then I’m sad! That’s why @UN is really good for nothing….leaves people hungry, children forgotten…UN needs to be reinvented…actually we need to rewrite a new UN…and now UN gives power to an assassin? @KremlinRussia_E Putin?",39,329,82.7K,2023-03-31T05:01:36.000Z
1641436901574942720,@7Veritas4,"Dear MAGA, this is what a peaceful protest inside a government building looks like.","2,414","8,861",637.2K,2023-03-30T13:47:08.000Z
1641363395000647681,@ukraine_hub,"On April 1st, #Russia will become president of the #UN Security Council : the country of a war criminal will lead the most powerful body on earth Join #UNBoycottRussia https://atlasmovement.org/unboycottrussia @AtlasMovement @ColombeCS @UN",89,"1,071",68.7K,2023-03-30T08:55:03.000Z
1641237151143677955,@TIME,"U.S. Senate Chaplain Barry Black: ""When babies die at a church school, it is time for us to move beyond thoughts and prayers""",64,380,196.6K,2023-03-30T00:33:24.000Z
1640424185036980228,@manueloliver00,I suggest a NATIONAL STRIKE from all levels of education until federal laws occur. Not fighting back for the next victim of gun violence makes us part of the problem. #enoughisnow @AMarch4OurLives @Team_Enough Please SHARE!,285,"2,622",655K,2023-03-27T18:42:57.000Z
