tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1584172560128045058,@tomcolicchio,Democrats are better for the economy by every measure http://politicsthatwork.com/blog/which-party-is-better-for-the-economy.php… via @PoliWork,37,61,0,2022-10-23T13:19:05.000Z
1645044525616734208,@tomcolicchio,Yes,4,1,20.4K,2023-04-09T12:42:33.000Z
1645044350504648705,@tomcolicchio,Happy Anniversary,0,0,19.5K,2023-04-09T12:41:51.000Z
1645039591274029056,@tomcolicchio,Will this guy be there,3,1,27.2K,2023-04-09T12:22:56.000Z
1644515796281102337,@TomJumboGrumbo,"His family adopted a PUPPY and moved out of the country! Luca #165601 is just 1 year old and dumped the day BEFORE they were leaving. Relaxed and playful with the kids he lived, but his family failed to socialize him. Now he’s intensely fearful and stressed and is TBK in NYCACC… Show more",52,999,38K,2023-04-08T01:41:34.000Z
1643301101553213455,@tomcolicchio,He is not the President.,5,5,20.8K,2023-04-04T17:14:48.000Z
1643287605339906048,@tomcolicchio,A great day for the rule of law.,31,12,46.9K,2023-04-04T16:21:10.000Z
1643093535074443265,@KeithOlbermann,BEA IS MISSING DOWNTOWN: last seen at Columbus Park and Mulberry Street. She's chipped: 985112000606876 and 25 pounds. If you've seen or found her please call 888-466-3242 and PLEASE RT BEA!,36,198,65.2K,2023-04-04T03:30:00.000Z
1643241704080789504,@tomcolicchio,"Why is because the night listed as a cover, Bruce wrote it with Patti Smith and the lyrics are different than hers.",6,0,25K,2023-04-04T13:18:46.000Z
1642898543823159296,@MadisonWIClerk,"Absentee stats for the @CityofMadison as of 4/3/23 at 9:20am: Absentee ballots issued: 42,149 Absentee ballots returned: 35,933 In-person absentee (early) voters: 16,617 Total registered voters: 191,428 #MadisonVotes #BeAVoter",3,37,145.3K,2023-04-03T14:35:11.000Z
1642976663725133824,@KeithOlbermann,NICO IS MISSING IN WEST NEW YORK. Last seen at 48th and Bergenline. If you've seen or found him please go here: https://lostmydoggie.com/details.cfm?petid=398230… and/or phone 877-818-0060 and PLEASE RT NICO!,15,135,91.8K,2023-04-03T19:45:36.000Z
1642965329360855055,@tomcolicchio,Agree with the 1st comment Disagree with the 2nd,11,2,28.7K,2023-04-03T19:00:33.000Z
1642962906743447578,@benwikler,"This morning's 9am canvass kickoff in Rhinelander, WI with the @OneidaWiDems was in the ! No amount of April weather can keep these mighty Dems off the doors. Snowmen can't vote. So the rest of us have to. #WinWithWisDems",22,157,25.1K,2023-04-03T18:50:56.000Z
1642963276211318785,@tomcolicchio,If all if the winning chefs would agree to participate yes that would be amazing.,24,2,54.6K,2023-04-03T18:52:24.000Z
1642936095523389440,@tomcolicchio,Is there another way,1,0,18.3K,2023-04-03T17:04:24.000Z
1642905293603389441,@FoodAdvocatesNY,"After federal funding ended for universal school meals, many children are facing a hunger crisis & families are struggling with school meal debt. Students who rallied at the Capitol last week said it best: @GovKathyHochul must fully fund Healthy School Meals for All. #Meals4AllNY",1,6,"7,242",2023-04-03T15:02:00.000Z
1642935357934059521,@tomcolicchio,"What time will you be manning the merch table tonight, I’ll stop by to say hi.",1,0,14.9K,2023-04-03T17:01:28.000Z
1642931394572582912,@tomcolicchio,I will be there,1,1,14.9K,2023-04-03T16:45:43.000Z
