tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1644882247160307715,@Yest3rdayMoon,Food ? (Normal version below) #BuddyDaddies #バディダディ,7,720,53.7K,2023-04-09T01:57:42.000Z
1645167947613077504,@RenzTom,So @elonmusk & @Twitter - why can’t I post this tweet? Why is information about #mRNA in the food supply being censored? This is happening on tons of my tweets. I’m also posting numerous viral #tweets with hundreds of thousands of views in a short period of time but nothing I do…,13,139,"4,550",2023-04-09T20:52:59.000Z
1644639228284874753,@cotupacs,VACCINES The Globalist overlords are hellbent on ensuring mRNA Gene Therapy is consumed by every single person on the planet….. Now these psychopaths are passing legislation to include in all manor of foods including veg & meat. Why? #vaccines #mRNA #BillGates,113,"1,558",46.6K,2023-04-08T09:52:02.000Z
1645064543088054273,@BowTiedPundit,A collection of Foods that facilitate Stronger Erections Bookmark This /Thread/,12,109,123.2K,2023-04-09T14:02:05.000Z
1644956807864123392,@wonieating,these subs worked so well but they take time & i dont even want to eat my favorite foods anymore this is so amazing,2,3,"1,732",2023-04-09T06:53:59.000Z
1645018741514592263,@YourSkinCareBot,Best food for your body,7,402,118K,2023-04-09T11:00:05.000Z
1645082530305961984,@meauhlback,favorite food forever,2,154,30.1K,2023-04-09T15:13:34.000Z
1644854882384396291,@foodeymmm,Eat alone or share?,63,211,28.2K,2023-04-09T00:08:58.000Z
1645115069599043587,@BernieSpofforth,UK - The don’t want citizens to be self sufficient. They want you to utterly depend on the state. Because then they can control the GM and Vaccine laden food you eat!,55,549,47.2K,2023-04-09T17:22:52.000Z
1644707519019745282,@The_Life_Pad,Do you know these 10 Foods Prevent premature Ejaculation 1. Pineapple,7,144,324.5K,2023-04-08T14:23:24.000Z
1645040613346222084,@OrganicLiveFood,Nature's Pharmacy,4,115,"8,387",2023-04-09T12:27:00.000Z
1645058936070864897,@coviurs,Steak,2,123,41.2K,2023-04-09T13:39:48.000Z
1645083866439499777,@zaidkdahhaj,Raw Honey: The nectar of the Bee God’s which never spoils and helps improve diabetes (How to test for FAKE honey to make the most of this 80/20 food) THREAD,16,117,123.5K,2023-04-09T15:18:52.000Z
analytics,user,text,0,0,0,0
1645046025806049282,@Wanji001,"How would you rate my food, in a scale of 1-10 ?",87,34,"7,451",2023-04-09T12:48:30.000Z
1645079912083083265,@food_Pundit,A mouthwatering feast,5,126,"8,155",2023-04-09T15:03:09.000Z
1645024390520905730,@kenyasdoyen,"Tulime tulishe nchi yetu! We can only become self sufficient by engaging ourselves in the business of food production! Wherever you are in this country in your own level, get down to work and feed our nation! KAZI NI KAZI! Sio kutupa tupa mawe aimlessly without any agenda!…",12,55,14.9K,2023-04-09T11:22:32.000Z
1645169871573884932,@hangintherehun,"I was going through re6 and re2r ada’s voice lines from the files and found some not used in game, aeon enjoyers i have some food for you soon",1,0,36,2023-04-09T21:00:37.000Z
1645097427123224583,@briancanavan1,In which the brave Joe here steps up to the plate. A 70 Yr old woman was left with a fractured skull. Another was assaulted with soup by a man who scrawled a swastika into his food. Another woman was held hostage and money demanded for her safe passage. But yeah your all Nazis,13,67,"8,626",2023-04-09T16:12:45.000Z
1645137788075999233,@LqLana,"Each night, more than 300,000 people in the U.S. stay in homeless shelters. An additional 200,000 are unsheltered. In 2022 17.3% of employed adults reported food insecurity. America can't house or feed everyone but we've managed to have more weapons than people. #Fresh",8,81,"1,970",2023-04-09T18:53:08.000Z
1645109374417883137,@homevsfastfood,Cheese Burger and Homemade French Fries http://homecookingvsfastfood.com #homecooking #cooking,3,51,"4,068",2023-04-09T17:00:14.000Z
1644723196850061312,@anime_clipper,Anime: Food Wars,3,110,20.2K,2023-04-08T15:25:42.000Z
1645141300788772864,@Grachidex,Which food combo will have you like this,34,95,16.2K,2023-04-09T19:07:06.000Z
1644876195098501122,@LordWilsonVILLA,"What world do these companies and supermarkets live in to price food this expensive, which will only lead to an increase in shoplifting and even more price rises",173,96,14.3K,2023-04-09T01:33:39.000Z
1645167745540005888,@5M0R36,my breakfast tier list. i mostly eat the same foods everyday,0,0,34,2023-04-09T20:52:10.000Z
1645089520864608256,@s0m30n3here,"You know what? Why don’t we celebrate Easter together! I got some food out now, but you guys can bring more if you want! Drop the pngs and let’s have a feast!",37,5,"1,145",2023-04-09T15:41:20.000Z
1645126397562609666,@wilcocarla,#kotd All y’all with your food posts today making me hungry… Had to order the charcuterie board at the theater. So excited to see Air!! Hope everyone is having a happy Sunday/Happy Easter!,16,9,"1,490",2023-04-09T18:07:52.000Z
1645017021325688833,@sboss_is_back,Aduke foods and more weytin Ewedu dey find inside ur pizza,7,6,547,2023-04-09T10:53:15.000Z
1645127082404462597,@esjesjesj,This is what all foods looks like when you break them into their ingredients,4,1,402,2023-04-09T18:10:36.000Z
1645048584671485953,@cal3ko,food poll: easter feast edition!! • • • > likes and rts appreciated; enjoy!!,1,8,"3,192",2023-04-09T12:58:40.000Z
1645128522736754690,@ryuomn,apparently my food isn't good...?,44,4,"3,192",2023-04-09T18:16:19.000Z
1645107067739308032,@evilsapphic_,my body when i have -300 kcals one day and the next i have 6000 kcals and my body weight in food,0,7,694,2023-04-09T16:51:04.000Z
1645167397706534912,@yjgfiles,: jeongin what’s your most favorite food in paris? : baguette ㅎㅎㅎ he really likes baguettes he’s so cute,0,11,272,2023-04-09T20:50:48.000Z
1644801456988475403,@fluttrershy,a ; ☆ pret a manger food poll ☆,4,14,"9,015",2023-04-08T20:36:40.000Z
1644937201795596291,@S4NDR4062,"""drawing moots with foods & drinks based of their avatar - 4"" [ @ikiruain ]",1,8,"1,051",2023-04-09T05:36:05.000Z
1645135922663489538,@USClaireForce,Food for thought! #ai #GenerativeAI #TeamHuman,4,22,"1,450",2023-04-09T18:45:43.000Z
1645033513371029504,@effizzzyy,which food/dish makes your face look like this whenever you see it ?,256,519,141.1K,2023-04-09T11:58:47.000Z
1644885727707279360,@wowjunjun,dongren kbbq date tonight my food buddies,0,159,"9,633",2023-04-09T02:11:32.000Z
1645099991843717121,@realMeetJames,"Things each governor should be fighting against: A controlled CBDC. Misaligned Interests in Healthcare & Pharmaceutical corruption. The WEF global agenda. Toxic exposure to ""glyphosate"" in the food supply.",7,31,"2,167",2023-04-09T16:22:57.000Z
1645076853080707072,@SupremeKongNFT,"We are co-hosting a FREE event for holders along with a few other communities at #NFTNYC2023 3 floors, speakeasy style venue DJ & live music performances Open Bar, Chef, Food Truck NFT NYC Featured Speakers Live Giveaways Hope to see you there!!",14,37,"1,453",2023-04-09T14:51:00.000Z
1645116901520031746,@JINKOOLUVCLUB,"""this is jin hyung, who loves me very much. i love you too, hyung.. so hurry up and come, so we can eat.. keke –JK–"" : i love you : why so suddenly keke : fod’s ready (typo) : food : as expected : i love you",3,112,"6,949",2023-04-09T17:30:08.000Z
1645014930028896256,@latimeralder,"Great news Prime Minister! We've acheived UK's #NetZero! The country's in ruins, the people are cold, broke and starving. China is sending us food parcels and 'foreign aid' But we got there! The only people in the world to do so Rejoice!'",22,212,12.1K,2023-04-09T10:44:56.000Z
1644995848395268096,@Timmynaijaa,"Road side food is ready, you need the location?",20,10,663,2023-04-09T09:29:07.000Z
1644921832024289281,@Sonnet_Lumiere,"""Take Back control"" means ceding control. ""Fewer asylum applications"" means increases tenfold. ""Higher environmental, food & safety standards"" means lower environmental, food & safety. ""More investment into UK"" means labour & capital flight. See a pattern? Orwellian #NewsSpeak",19,455,25.4K,2023-04-09T04:35:00.000Z
1645065618775744512,@S1NFULBUNS,goooood morning pretty babies! i have been up since literally the crack of dawn and i am running on maybe four hours of sleep. but let’s have a good day today! eat some yummy food and drink lots and lots of water!,2,4,391,2023-04-09T14:06:22.000Z
1645010785435807745,@7_lmmaculate_7,"I just finished eating Easter food at my neighbor’s house, how long do I need to wait so it wont be as if I come for food.",6,23,818,2023-04-09T10:28:28.000Z
1644880235840831488,@yellow_tokki,OP met jaemin and renjun at rosemont fashion outlet but my question is… did they go on the same day with jaemin’s ig live (and he said he went to eat chinese food with renjun and chenle before that). his black hoodie though,0,194,"9,064",2023-04-09T01:49:43.000Z
1645116484480376834,@WingRonin,The best delis in the world are easily Kosher Delis in Manhattan. Specifically Katz’s world famous kosher deli at E 205 Houston & Ludlow St is the best deli in the entire world. All living former presidents have dined there. It’s truly an earth shattering food experience.,4,2,418,2023-04-09T17:28:29.000Z
1645091228575494144,@smolsungies,"minilog: ""hi~ im anchovies!! i was roasted!!"" ""i am mackarell kimchijjim!!"" ""hi im the dried pollack soup next to it"" ""hi im coffee"" only leeknow would introduce his food like this hes too cute",1,675,41.5K,2023-04-09T15:48:07.000Z
1645168955114377219,@panzer2luchs,"""Kill yokai. Behead yokai. Roundhouse kick a yokai into the concrete. Slam dunk a yokai baby into the trashcan. Crucify filthy yokai. Defecate in a yokais food. Launch yokais into the sun. Stir fry yokais in a wok. Toss yokais into active volcanoes. Urinate into a yokais gas ta-""",0,1,43,2023-04-09T20:56:59.000Z
