tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1645155299156688897,@Christo43679718,Haunted me for so long but ⁦ @MattHancock ⁩ you have blood on your hands through the NG 163 protocol you put on hospitals “to deal with covid cases” in 2020 & specifically my Mum. Restricting basic foods & water intentionally reduces patient health. ⁦ @MarkSteynOnline ⁩,5,16,341,2023-04-09T20:02:43.000Z
1644741054938136576,@GoatRoper911,"This Administration’s Agenda Is To CONTROL The FOOD And To CONTROL The PEOPLE”! GUESS, WHO IS BUYING FARMLAND?",63,"1,795",33.9K,2023-04-08T16:36:39.000Z
analytics,user,text,0,0,0,0
1644332982008795137,@laughingcat2016,Police ticketing people for giving food to the homeless in Houston.,218,"2,208",3.2M,2023-04-07T13:35:07.000Z
1645076230318985216,@raphousetv2,Kevin Gates Says He Has Went Without Food For 42 Days & Has Done It 3 Times,453,"1,164",1.9M,2023-04-09T14:48:32.000Z
1645105136677580801,@ShannenJPEG,You know something is seriously wrong with the food system when you have to pay extra for poison-free food,100,87,54.9K,2023-04-09T16:43:23.000Z
1645095161091997697,@stillgray,What is even the point of food stamps?,323,370,157.6K,2023-04-09T16:03:45.000Z
1645170844815990784,@ShayaanSheikh_,"From the first day till now, when the oppressors attacked ZP & the people gathered there to save their leader #imrankhanPTI this Man @waqas_amjaad is playing his positive role in Haqeeqi Azadi By providing from his own pocket food to the people(Muhazafiz) #امپورٹڈ_حکومت_نامنظور",0,0,3,2023-04-09T21:04:29.000Z
1641895871301275652,@SouthDallasFood,Excuse me waiter There appears to be some red crap on my pizza,443,124,86.7K,2023-03-31T20:10:55.000Z
1645168737245331457,@litebluez,If you know anything about me at all you know how much I love frustrated love confessions it’s MY FOOD #Ego || #ErSib,0,4,562,2023-04-09T20:56:07.000Z
1645068137392402432,@Naija_PR,What kind of food is this one again??,148,91,108.1K,2023-04-09T14:16:22.000Z
1644661801383075843,@Humanbydesign3,SECRETS OF THE FOOD INDUSTRY PART I#rtitbot,22,"1,127",68.4K,2023-04-08T11:21:44.000Z
1641990297142829056,@VigilantFox,"Avoiding the Shot Isn't Enough: They Now Want to ""Vaccinate"" Us Through the Food Supply ""Gates, the WHO, a ton of these universities: they're all talking about including mRNA vaccinations as part of the food. They're gonna modify the genes of these foods to make them mRNA…",530,"7,865",1.2M,2023-04-01T02:26:08.000Z
