tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1644576999782989829,@ABC,"JUST IN: Chinese military announces ""combat readiness patrols"" around Taiwan in a new act of retaliation for U.S. meeting.",15,21,12.1K,2023-04-08T05:44:46.000Z
1644571037856669697,@ABC,XBB.1.16 is an omicron subvariant that has been detected in over 20 countries and is contributing to a recent surge of COVID-19 cases in India. Here's what you should know.,11,13,21.9K,2023-04-08T05:21:04.000Z
1644565591280304128,@ABC,"A U.S. Army sergeant was convicted of murder for fatally shooting an armed protester in 2020 during nationwide protests against police violence and racial injustice, a Texas jury ruled.",4,31,24.3K,2023-04-08T04:59:26.000Z
1644560242544459776,@ABC,"A Utah man who fatally shot his wife, her mother and the couple’s five kids after he was investigated for child abuse left a suicide note, investigators say.",11,23,34K,2023-04-08T04:38:10.000Z
1644554295746998285,@ABC,The jersey and shoes Donna Kelce wore to watch her sons Jason Kelce and Travis Kelce compete against each other in Super Bowl LVII are now on display in the Pro Football Hall of Fame.,5,5,35.3K,2023-04-08T04:14:33.000Z
1644409951756926976,@ABC,"The seriousness of the espionage charges against detained Wall Street Journal reporter Evan Gershkovich and the fact that Moscow shows no sign of backing down means the U.S. will face an uphill battle freeing him, experts say.",20,22,44.8K,2023-04-07T18:40:58.000Z
1644407190466224129,@ABC,"Crews made preparations outside the Colosseum in Rome ahead of the night's ""Way of the Cross"" procession. Recently hospitalized Pope Francis won't attend the procession due to unseasonably cold temperatures. https://abcn.ws/3nZTOMY",18,15,46.9K,2023-04-07T18:30:00.000Z
1644403462300475401,@ABC,New Mexico State Police have launched an investigation after officers mistakenly responded to a wrong address and fatally shot the armed homeowner.,24,59,53K,2023-04-07T18:15:11.000Z
1644395908723875843,@ABC,The CDC issued a warning for clinicians and public health departments in the United States to be on the lookout for cases of a rare Ebola-like virus.,33,77,52.1K,2023-04-07T17:45:10.000Z
1644390566245826577,@ABC,"Last week, Utah became the first state to pass a law limiting access to social media for kids under age 18. State Sen. Michael McKell, one of the bill’s sponsors, speaks about the scope of the new laws.",23,21,42.4K,2023-04-07T17:23:56.000Z
1644382857857466376,@ABC,"Pope Francis won't go to the Colosseum for the traditional Good Friday Way of the Cross procession due to unseasonably cold nighttime temperatures in Rome, the Holy See says.",17,19,44.7K,2023-04-07T16:53:19.000Z
1644376991695802369,@ABC,More than one hundred firefighters worked for several hours to get a huge fire under control at a sprawling wholesale market in Mexico City. No injuries were reported. https://abcn.ws/2FLyzTu,12,18,41.5K,2023-04-07T16:30:00.000Z
1644374744517443596,@ABC,"Last year, realtor Scott Stallings received an invitation to the Masters in the mail originally intended for pro golfer Scott Stallings. This week, the two united at the Augusta National.",14,25,137.7K,2023-04-07T16:21:04.000Z
1644369037932077056,@ABC,"U.S. Supreme Court Justice Clarence Thomas released a statement saying the gifts received from a Republican donor that were revealed in a new report was ""personal hospitality from close personal friends.""",203,118,144.2K,2023-04-07T15:58:24.000Z
