tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1644516160086458368,@cbcnewsbc,Never in her wildest dreams did UVic's Kelly Richardson think her work would one day become the backdrop to the epic musical stylings of Metallica.,0,3,"5,115",2023-04-08T01:43:00.000Z
1644501059140722689,@cbcnewsbc,UFC is returning to Canada with a UFC 289 pay-per-view set for June 10 in Vancouver.,1,0,"5,187",2023-04-08T00:43:00.000Z
1644485958916534274,@cbcnewsbc,"B.C.'s South Coast is going to get drenched this Easter weekend, Environment Canada says.",2,1,"5,367",2023-04-07T23:43:00.000Z
1644475894403063816,@cbcnewsbc,"A transient orca with a ""cult following"" among whale watchers thanks to a tell-tale dorsal fin has been spotted near Boundary Pass in British Columbia's Gulf Islands.",1,5,"6,395",2023-04-07T23:03:00.000Z
1644452718788870149,@cbcnewsbc,MISSING YOUTH: Coquitlam RCMP is asking for the public's assistance in locating 15-year-old Daniel Gagnon. Read more: https://buff.ly/3nUmWp7,1,34,"7,891",2023-04-07T21:30:55.000Z
1643690719075262490,@cbcnewsbc,"Start with a small room, limit your session to two hours, find a decluttering buddy and more: experts share six tips to make decluttering more manageable.",0,2,"4,239",2023-04-05T19:03:00.000Z
1643675621497741329,@cbcnewsbc,"B.C. Ferries and Vancouver International Airport (YVR) have issued a series of travel tips ahead of the Easter long weekend, expected to be one of the busiest travel periods of the year.",0,1,"3,726",2023-04-05T18:03:00.000Z
1643660689335021569,@cbcnewsbc,Grocery chains boost profits by charging different prices for the same stuff — and many Canadians are fed up with it,4,4,"5,618",2023-04-05T17:03:40.000Z
1643658135096131603,@cbcnewsbc,Police have moved into Vancouver's Downtown Eastside on Wednesday morning as the city prepares to carry out its plan to remove a street encampment from the neighbourhood.,58,43,46.9K,2023-04-05T16:53:31.000Z
1643645902995816449,@cbcnewsbc,"Eight months ago, Metro Vancouver announced plans to buy land on Bowen Island with the intention of turning it into a regional park and campground. Now a series of meetings in the next few weeks will likely decide whether the park goes ahead.",0,1,"3,684",2023-04-05T16:04:55.000Z
