tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1644565760293969920,@CNN,Popular springtime candy brand Peeps is being criticized for containing red dye No. 3 in some of its candies,4,4,"8,532",2023-04-08T05:00:06.000Z
1644558202887892992,@CNN,"A homeless shelter resident in Vermont attacked and killed a staff member at the shelter with an axe, according to police.",30,30,83.2K,2023-04-08T04:30:04.000Z
1644550691686416386,@CNN,"\"“The rest of the protestors just ambushed and cornered me before I was able to move out with the help of campus police,\"\" former NCAA swimmer Riley Gaines said.\"",150,63,175.5K,2023-04-08T04:00:13.000Z
1644546878640406528,@CNN,"LSU star Angel Reese now says she'll visit the White House with her team, just days after saying that she wouldn't. https://cnn.it/3KnGeuD",82,32,138.6K,2023-04-08T03:45:04.000Z
1644543114202185729,@CNN,A tale of two housing markets: Why tech hubs are seeing home prices cool faster than other areas in the US,31,19,132.8K,2023-04-08T03:30:07.000Z
1644429911333957636,@CNN,Vice President Kamala Harris will travel to Nashville to advocate for gun control and meet with the a pair of state lawmakers who were expelled from the General Assembly after they protested in favor of gun control on the state House floor.,"2,259",620,539K,2023-04-07T20:00:17.000Z
1644425841688866821,@CNN,"Tesla cut prices in the US between 2% and nearly 6%, its website showed Thursday. It's the fifth such cut in its largest market since the start of the year and comes as the US prepares to adopt tougher standards that are expected to limit EV tax credits.",41,57,185.1K,2023-04-07T19:44:07.000Z
1644418789281234944,@CNN,"A team of ProPublica reporters earlier this year began looking into the travel of various Supreme Court justices, not entirely sure what they would find, if anything. But after a little digging, they stumbled upon something that piqued their interest.",158,193,265.3K,2023-04-07T19:16:05.000Z
1644415940346486801,@CNN,House Judiciary Chairman Jim Jordan is seeking testimony from the senior counsel to the Manhattan district attorney in connection to the Trump probe,85,42,187.4K,2023-04-07T19:04:46.000Z
1644414832014237747,@CNN,Here are the factors that add up to better health and what you can do today to improve in these areas.,19,33,162.3K,2023-04-07T19:00:22.000Z
1644410998235832333,@CNN,"Paul Cattermole, from British pop group S Club 7, has died at the age of 46, weeks after the pop group announced a major reunion tour.",55,73,340.1K,2023-04-07T18:45:08.000Z
1644407214675750913,@CNN,Popular springtime candy brand Peeps is being criticized for containing red dye No. 3 in some of its candies,144,116,322.4K,2023-04-07T18:30:06.000Z
1644404687293095952,@CNN,"LSU star Angel Reese now says she'll visit the White House with her team, just days after saying that she wouldn't. https://cnn.it/40P7lpv",132,58,219K,2023-04-07T18:20:03.000Z
1644402175601147904,@CNN,South African authorities are applauding a pilot’s courage for safely landing an aircraft after feeling a venomous stowaway cobra slithering on his body mid-flight.,37,82,206.6K,2023-04-07T18:10:04.000Z
1644399683500949504,@CNN,"As focus now shifts to filling the two new vacancies in the Tennessee state House, local lawmakers in Jones’ and Pearson’s districts are working to determine their next steps, including possibly returning the ousted lawmakers to the chamber.",99,101,192.2K,2023-04-07T18:00:10.000Z
1644395889736454145,@CNN,"The timing of a Biden 2024 announcement is now more likely to be the summer rather than spring, three Democratic officials say, with a target date still not determined",267,85,247K,2023-04-07T17:45:06.000Z
1644392137117540352,@CNN,"Whether it’s a change in the baseballs themselves, better analytics or more robust player training, many have speculated about what could be behind the upward trend in MLB home runs. But new research has raised another potential factor: climate change.",101,32,184.1K,2023-04-07T17:30:11.000Z
1644286457811546114,@CNN,"China has slapped sanctions on two American organizations that hosted Taiwan’s President Tsai Ing-wen during her recent travel in the United States, which Beijing had fiercely condemned.",62,71,319.8K,2023-04-07T10:30:15.000Z
1644278898765492225,@CNN,"The stabbing death of CashApp founder Bob Lee has prompted comments perpetuating the notion that San Francisco is dangerous and crime-riddled, but data shows violent crime – especially homicides – are well below that of many other cities of a similar size.","4,596","1,203",1.9M,2023-04-07T10:00:13.000Z
1644271324762652673,@CNN,No golfer on record has ever double bogeyed the first hole of The Masters and gone on to don the green jacket. But Jon Rahm is a man on a mission to rewrite history at Augusta National.,32,16,184.1K,2023-04-07T09:30:07.000Z
1644263808834183168,@CNN,"Mick Mars, guitarist for the 1980’s heavy metal band Mötley Crüe, filed a lawsuit against the band that he was a part of for four decades.",48,42,196.7K,2023-04-07T09:00:15.000Z
1644256257883230209,@CNN,"A California dermatologist was indicted by a grand jury for allegedly poisoning her husband with liquid drain cleaner, according to local officials.",79,95,422.8K,2023-04-07T08:30:15.000Z
1644248709637521413,@CNN,"In Japan’s ramen restaurants, there’s an unspoken rule: eat quickly and leave.",78,66,238.6K,2023-04-07T08:00:15.000Z
1644233563863240704,@CNN,Lea Michele is being strong for her 2-year-old son,69,23,161.9K,2023-04-07T07:00:04.000Z
1644226033841831939,@CNN,"There are at least 45 good reasons to cut back on added sugar, according to a new study https://cnn.it/40RIjWE",95,89,354.6K,2023-04-07T06:30:09.000Z
1644218507930812416,@CNN,Only two cities from the United States made it onto the list,59,60,219.7K,2023-04-07T06:00:15.000Z
1644210917574426624,@CNN,Can AI create a professional headshot for your LinkedIn profile? https://cnn.it/415j6HY,35,38,229.9K,2023-04-07T05:30:05.000Z
1644203419110977536,@CNN,A Spanish TV actress has sparked controversy after using a surrogate to fulfil what she says was the final wish of her dead son: to have a child,67,63,466.7K,2023-04-07T05:00:17.000Z
1644195820005097472,@CNN,"Planet-warming gas levels significantly jumped in 2022, according to the National Oceanic and Atmospheric Administration https://cnn.it/43hyeUK",109,90,247.6K,2023-04-07T04:30:05.000Z
