tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1644506973205848064,@DailyNoahNews,Is Melania more beautiful than Michelle?,744,335,21.5K,2023-04-08T01:06:30.000Z
1644335074731753474,@SoCalEdgyGal,News flash,119,"1,004",25.1K,2023-04-07T13:43:26.000Z
analytics,user,text,0,0,0,0
1644317708899557381,@StrangerNews11,Season 5. 2024. #StrangerThings,260,"5,196",985.1K,2023-04-07T12:34:26.000Z
1644574997246083072,@NewsMobileIndia,#HappyBirthdayAlluArjun | Actor #AlluArjun turns 41 today,0,31,436,2023-04-08T05:36:48.000Z
1644576446734561282,@freenbeckarch,by All News Thailand press #ฟรีนเบคFanBoom #srchafreen #beckysangels #ฟรีนเบค,0,102,"2,590",2023-04-08T05:42:34.000Z
1644514961836716035,@theliamnissan,BREAKING NEWS: Melania Trump Found All Over Hunter Biden's Big Hard Drive,165,343,91.2K,2023-04-08T01:38:15.000Z
1644401283573399554,@BollywoodKiNews,Hypocrite Alia Bhatt is wearing T Shirt Save Animals and holding bag which is made by animal skin.,15,60,32.9K,2023-04-07T18:06:32.000Z
1644558693424574465,@Sakamoto_Days,"Today is Lu Shaotang's birthday. She was born on April 8th, 2002. Happy Birthday, Luuuu!! When will get Lu focused arc, sensei?? #SAKAMOTODAYS #サカモトデイズ",6,83,"4,731",2023-04-08T04:32:01.000Z
1644453565728161792,@LT_Aust,"Great news, Dutton has heard OUR ‘Voice’. #VoteNOAustralia just #VoteNo #auspol",4,56,"3,590",2023-04-07T21:34:17.000Z
1644493092458749952,@NotTheDailyNew1,They are canonically Toralei cousins in G3 and have different personalities from eachother!,12,252,15.9K,2023-04-08T00:11:21.000Z
1644458022217891844,@FCB__Messi10_,"His standards are so high that if he gets dribbled past ONCE in a game, the rival news pages lose their minds and make 30 posts about it",14,34,"6,130",2023-04-07T21:51:59.000Z
1644364428488441857,@CoffeyTimeNews,"BREAKING: The most corrupt Justice on the Supreme Court has released a statement attempting to justify 20 years worth of influence from a Republican billionaire This is a load of shit. Private jets, private islands and private luxury yachts don’t qualify as a family trip.",231,731,69.9K,2023-04-07T15:40:05.000Z
1644450579186417664,@CFCNewsReport,Chelsea loanee Ian Maatsen and Burnley are promoted to the Premier League. Congratulations,0,31,"6,919",2023-04-07T21:22:25.000Z
1644525197402451969,@BitingNews,Next time you're tempted to vote Democrat...,2,2,30,2023-04-08T02:18:55.000Z
1644399393452302343,@UmarBzv,"A News paper add, offering house on sale in 1955.",70,456,240.4K,2023-04-07T17:59:01.000Z
1644570873754718210,@GemsOfKCR,"Someone was spreading fake news that KCR saar is suffering from loose motions, that's why he's not attending. Plz Don't spread such rumours. I condemn it. PM Modi to inaugurate projects worth 11,360Kgs of Ghee in Telangana today. #SwagatamModiJi",3,46,"2,185",2023-04-08T05:20:25.000Z
1644535587653791744,@UniAniNews,These coming news might make you excited Tomorrow... #TheSuperMarioBrosMovie,23,53,"5,864",2023-04-08T03:00:12.000Z
1644350308175482880,@JoshuaPHilll,"Finally, some good news",30,905,129.9K,2023-04-07T14:43:58.000Z
