tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1531624136442753024,@BruceFeldmanCFB,"I tried coaching my son’s pee-wee football team this spring. This is the story of the Slow Mesh Express. They are now my all-time favorite team, and probably always will be.",63,189,0,2022-05-31T13:10:24.000Z
1641817962423123970,@ZBerm,My favorite mock draft every year…,11,1,104.2K,2023-03-31T15:01:20.000Z
1645073291810598912,@BruceFeldmanCFB,"Replacing the great Max Duggan isn’t gonna be easy but in Chandler Morris, TCU has another really special QB. Just ask all the folks inside the Horned Frogs program—or the Baylor staff that was wowed by him two years ago:",1,8,47.6K,2023-04-09T14:36:51.000Z
1644894332800077824,@BruceFeldmanCFB,Wow ... What a comeback. What a finish. Quinnipiac wins its first national title... in anything. Uh-mazing.,2,16,51.6K,2023-04-09T02:45:44.000Z
1644888859749277696,@BruceFeldmanCFB,"Frozen Four has been fantastic. Can't beat the drama. Pulls his goalie with over three minutes left, and then Quinnipiac ties up the game.",3,10,64.2K,2023-04-09T02:23:59.000Z
1644388384893468673,@BruceFeldmanCFB,"TCU had the most explosive offense CFB has seen in years in 2022, but even tho Garrett Riley and Max Duggan have moved on, here's why the Horned Frogs (who have brought in a bunch of gifted transfer WRs) will still be very scary:",19,22,127.3K,2023-04-07T17:15:16.000Z
1643250881394245637,@BruceFeldmanCFB,Mock Draft: I know running backs just aren’t as valued in the NFL the way they used to be but Bijan Robinson is special. He’s one of the few players in this draft that rival coaches just seemed to be in awe of: https://theathletic.com/4357004/2023/03/31/mock-draft-nfl-picks/…,12,34,129.7K,2023-04-04T13:55:14.000Z
1643085489983963137,@BenStandig,"As we wait for owner updates, let's talk NFL Draft with @BruceFeldmanCFB . Bruce's new mock draft is loaded with insight from college sources so we dug into prospects that tie into the Commanders' situation. Plus, some organizational notes.",1,6,58.4K,2023-04-04T02:58:02.000Z
1641843798475931675,@TheAthletic,"""I wouldn’t be shocked if Hooker gets picked higher than Levis."" - @BruceFeldmanCFB The Athletic spoke to college football coaches and NFL sources for this mock draft. Here's what they had to say: https://theathletic.com/4357004/2023/03/31/mock-draft-nfl-picks/?source=twitterhq…",11,27,111.1K,2023-03-31T16:44:00.000Z
1642855222673375233,@davidubben,"“Yeah, I’m the guy.” How Josh Heupel ended up face to face with the man who has Heupel’s face tattooed on his thigh. Also: Explaining why someone would do that. http://theathletic.com/4372793",13,24,165.2K,2023-04-03T11:43:02.000Z
1643005973811073025,@BruceFeldmanCFB,"Sunday's LSU-Iowa Women's National Title Game gets a record 9.9 million viewers, which is more than the Sugar and Orange Bowl got.",44,527,535.4K,2023-04-03T21:42:04.000Z
1641747083630907393,@BruceFeldmanCFB,"Which QB goes first? Which one should? Which prospects are the most underrated? My NFL Mock Draft with the picks for every team, and with deep analysis of every player from dozens of coaches who game-planned against them and faced all these guys.",26,99,1.1M,2023-03-31T10:19:41.000Z
1642950088669679616,@TheAthleticCFB,"Barton Simmons is still using his gift for scouting, but instead of ranking players, he’s trying to use his keen eye for talent to bring Vanderbilt to new heights. How? By trying to beat the stars system he helped create. @AriWasserman explains.",0,33,183.9K,2023-04-03T18:00:00.000Z
None,user,text,0,0,0,0
1641439981788073984,@BruceFeldmanCFB,"This is a really good, important story by @NicoleAuerbach .",3,2,58.5K,2023-03-30T13:59:22.000Z
1641167339298123778,@JeffSchultzATL,Georgia Tech’s Brent Key makes emotional plea after Nashville shooting: ‘Something has to change’ ⁦ @TheAthletic ⁩,7,8,47.1K,2023-03-29T19:55:59.000Z
1641084876395782144,@BruceFeldmanCFB,"Today, Congress is holding a hearing on NIL and its' memo cites @TheAthletic 's reporting on top recruit T.A. Cunningham's odyssey from GA to CA. New subscribers can get TheAthletic for $1/month for a YR as part of the Opening Day Special at this link:",0,2,31.9K,2023-03-29T14:28:19.000Z
