tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1645185519108915201,@OSportsU,Fuck Jordan Poole. Laughing at an injured player.,19,23,10.2K,2023-04-09T22:02:48.000Z
1644895583482658819,@CombatSport_USA,President Donald Trump in attendance at UFC 287,357,"1,544",818.2K,2023-04-09T02:50:42.000Z
1644940625027141633,@ufc,Stylebender and Poatan exchange words after their latest battle There is no sport like Mixed Martial Arts. #UFC287,709,"8,595",6M,2023-04-09T05:49:41.000Z
1645121932902420481,@SportsCenter,UDONIS STARTS THE BREAK AND THROWS IT DOWN,73,"1,256",1.2M,2023-04-09T17:50:08.000Z
1644856399221108736,@Figensport,The magic of physics...,110,"1,982",300.3K,2023-04-09T00:15:00.000Z
1645226577708343296,@FeitsBarstool,The 2022-23 Boston Bruins officially have a shot to be the best team in the history of the sport of hockey.,6,75,63.3K,2023-04-10T00:45:57.000Z
1645215013442031616,@Figensport,Excellent free kick!,13,75,"9,268",2023-04-10T00:00:00.000Z
1645220702193156099,@barstoolsports,Zach Ertz almost cost Jon Rahm a green jacket,21,239,398.3K,2023-04-10T00:22:36.000Z
1644983371850760192,@Sports_Doctor2,"I said it one day here, when you find yourself outside Nigeria and you see a Nigerian, you’re happy, you’re elated, you don’t care if they’re Hausa or Yoruba or Igbo, you’re just happy you’ve seen a BROTHER!!! Kamaru Usman and David Njoku out there supporting Israel Adesanya",178,"1,612",403.4K,2023-04-09T08:39:32.000Z
1645158756412452876,@SportsTalk790,As animated as we’ve ever seen Kyle Tucker,19,98,97K,2023-04-09T20:16:27.000Z
1644850107739959296,@Figensport,Incredible goalkeeper!,82,"2,149",464.5K,2023-04-08T23:50:00.000Z
1645207534230175744,@Sports_Doctor2,Uber facts just posted about Bola Tinubu’s drug case. Agbado’s drug case going global,21,87,12.1K,2023-04-09T23:30:17.000Z
1645169019262214144,@AnaheimSports1,Go Go Sho! Shohei Ohtani Home Run 108.6 MPH 23° 397 Feet Shohei Ohtani homers (3) on a fly ball to center field. Mike Trout scores. 89.3 MPH slider thrown by Yusei Kikuchi. Blue Jays 0 - #Angels 5 Bottom 3rd Credit: Ballys #大谷翔平 #Ohtani #Angels #GoHalos #菊池雄星,6,380,266.7K,2023-04-09T20:57:14.000Z
1645229651524984834,@barstoolsports,An employee leaked this audio of Kyle Anderson post Rudy Gobert scuffle “Fuck is wrong with y’all? Y’all got some decisions to make this summer.”,24,54,332.6K,2023-04-10T00:58:10.000Z
1645118514318163968,@SportsCenter,UDONIS FOR THREE,56,490,907.9K,2023-04-09T17:36:33.000Z
1645117056109387780,@SportsCenter,They brought out a rocking chair for Udonis Haslem (via @MiamiHEAT ),37,536,711.6K,2023-04-09T17:30:45.000Z
1644920712786763776,@SportsCenter,"“I don’t feel the same when I get in here anymore, it’s been 20 long years.” Jorge Masvidal calls it a career in his hometown. #UFC287",179,956,1.5M,2023-04-09T04:30:33.000Z
1643749001672679424,@Figensport,She is amazing,104,"1,330",292.4K,2023-04-05T22:54:36.000Z
1645227111777542144,@ClayTravis,Minneapolis is the most cursed sports city in America and now their NBA team has players throwing punches at each other during timeouts.,66,40,77.9K,2023-04-10T00:48:04.000Z
1645207462398791682,@Figensport,Fantastic,2,82,11.2K,2023-04-09T23:30:00.000Z
1645137897228468225,@KopitePodcast,| Get Peter Drury on Sky Sports ASAP.,15,345,96.1K,2023-04-09T18:53:34.000Z
1644892177670045698,@MySportsUpdate,#Dolphins HC Mike McDaniel linking up with #Rams star DT Aaron Donald at #UFC287.,131,447,1.6M,2023-04-09T02:37:10.000Z
