tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1601260187729375233,@BNightengale,RIP Col. Gene Nightengale My hero. My father.,"1,748",419,0,2022-12-09T16:59:13.000Z
1645200343582797825,@BNightengale,Just the way the schedule-makers drew it up: The 1st place Milwaukee #Brewers in Phoenix for a 3-game series against the 1st place Arizona #Dbacks,16,26,44.2K,2023-04-09T23:01:42.000Z
1645160645170724865,@BNightengale,Young #Pirates star Oneil Cruz suffers fractured ankle in home-plate collision,22,42,67.7K,2023-04-09T20:23:58.000Z
1645160099219132416,@BNightengale,More #Rays history,7,2,54.9K,2023-04-09T20:21:47.000Z
1645152079495987200,@BNightengale,The #Rays sitting atop the baseball world: 9-0. They rout the #Athletics 11-0,20,8,37.4K,2023-04-09T19:49:55.000Z
1645150426558521344,@BNightengale,Now 4 homers for Judge New Home Run pace: 72,67,31,157.3K,2023-04-09T19:43:21.000Z
1645146418989137920,@BNightengale,"The Tampa Bay #Rays absolutely cruising to their 9th consecutive victory, up 10-0 over the Oakland #Athletics, outscoring them 30-5 so far this weekend.",30,19,42.5K,2023-04-09T19:27:26.000Z
1645130334407921666,@BNightengale,The #Rays already up 5-0 as they bid to stay undefeated for the 9th game this season,19,17,39.7K,2023-04-09T18:23:31.000Z
1645129169314136065,@BNightengale,Aaron Judge with HR No. 3 HR pace: 54,63,36,206.8K,2023-04-09T18:18:53.000Z
1645058956304457728,@BNightengale,"Sunday Notebook: The Arizona #Diamondbacks are 'changing the game' with aggressive style, putting the NL West on notice; dark horse destination for Shohei Ohtani; advice from one former rookie sensation to another; more.",10,26,103.7K,2023-04-09T13:39:53.000Z
1644890314338078720,@BNightengale,"Arizona #Dbacks OF Alek Thomas, who didn’t have a hit entering the night, now 4-for-4, raising his batting average from .000 to .200 in just two hours.",6,8,46.2K,2023-04-09T02:29:46.000Z
1643048625780711434,@BNightengale,"Anthony Rendon has suspension reduced to 4 games, apologizes, and begins serving it tonight.",17,22,70.5K,2023-04-04T00:31:33.000Z
1643013806438887424,@BNightengale,Anthony Rendon was going to receive at least a 3-game suspension simply based on #Royals pitcher Amir Garrett’s 3-game suspension last year when he tossed water on a fan.,12,15,101.7K,2023-04-03T22:13:11.000Z
1643012515578908672,@BNightengale,MLB suspends #Angels 3B Anthony Rondon for altercation with fan,114,106,297.2K,2023-04-03T22:08:04.000Z
1642979866512625664,@BNightengale,The Milwaukee #Brewers have certainly found some offense: They have scored 22 runs in their last 16 innings. They lead the NY #Mets 10-0 in their home opener.,16,18,54.3K,2023-04-03T19:58:19.000Z
1642962714803961856,@BNightengale,"Boston #RedSox outfielder Adam Duvall and Colorado #Rockies 1B C.J. Cron are the first #MLB players of the week (well, weekend) in 2023. Duvall hit .571 with three doubles, one triple, two homers and eight RBI. Cron hit .467 with two doubles, three home runs and seven RBI.",24,42,66.2K,2023-04-03T18:50:10.000Z
1642897808276721664,@BNightengale,"Atlanta officially retires center field great Andruw Jones’ jersey, No. 25",12,35,91.6K,2023-04-03T14:32:15.000Z
1642894256003248128,@BNightengale,MLB's opening weekend awards: Who made best/worst first impressions?,4,2,33.9K,2023-04-03T14:18:08.000Z
1642665925840338944,@BNightengale,"The Minnesota #Twins (3-0) Cleveland #Guardians (3-1), and Chicago #Whitesox (2-2) all with impressive opening weekends on the road in the AL Central",16,20,96.3K,2023-04-02T23:10:50.000Z
1642639892676239360,@BNightengale,Just like how they drew it up: Mike Trout and Shohei Ohtani go back-to-back with HRs. Angels up 6-0,13,31,58.2K,2023-04-02T21:27:23.000Z
1642627430560169984,@BNightengale,"The wild #Orioles-#RedSox 3-game series at Fenway Park: 50 runs 74 hits 24 walks 53 strikeouts The Red Sox, who won 2 of the 3 games, scored 9 runs in each game.",9,37,64.6K,2023-04-02T20:37:52.000Z
1642603820982362113,@BNightengale,"Jeffrey Spring's day is over, six innings of no-hit ball, leaves with Tampa Bay #Rays leading 4-0 over the Detroit #Tigers. Check out his surreal stats for 2023 (spring training and regular season). 20 innings 5 hits 0 runs 3 walks 36 strikeouts",24,20,99.4K,2023-04-02T19:04:03.000Z
1642598435537948672,@BNightengale,Tampa Bay #Rays starter Jeffrey Springs having quite the 2023 debut today: 6 innings 0 hits 0 runs 1 walk 12 strikeouts 81 pitches,41,56,230.3K,2023-04-02T18:42:39.000Z
1642596628405305344,@BNightengale,"Giancarlo Stanton’s 485-foot homer was career No. 380: He has now passed #SFGiants great Matt Williams, and Hall of Famers Tony Perez and Orlando Cepeda in the first weekend of this season.",9,23,43.8K,2023-04-02T18:35:28.000Z
1642594034983243776,@BNightengale,Aaron Judge keeps on homering. No. 2.,58,29,126.2K,2023-04-02T18:25:10.000Z
1642519589564354560,@BNightengale,MLB's opening weekend awards: Who made best/worst first impressions,3,3,42.8K,2023-04-02T13:29:21.000Z
1641654420982190087,@BNightengale,"Houston #Astros , defending World Series champions, ready to build on dynasty",17,29,61.6K,2023-03-31T04:11:29.000Z
