tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1615750780451164161,@Rachel__Nichols,"Fun, fun, fun...and more to come...let's gooooo",58,28,172.5K,2023-01-18T16:39:39.000Z
1645201061219639298,@_Andrew_Lopez,"Mike Conley said that Rudy Gobert already sent a text message in the Wolves group chat apologizing for the incident today. Kyle Anderson said it's something he and Rudy could move forward from. ""We'll speak about it and move on. We're grown men.""",17,83,79.6K,2023-04-09T23:04:34.000Z
1645189351524163585,@Rachel__Nichols,Playoff brackets are set. Let’s gooooo…,8,62,98.6K,2023-04-09T22:18:02.000Z
1645194951750479873,@Rachel__Nichols,"Play-in games happen this week but the NBA has already announced the schedule for Saturday, the first official day of the playoffs: Nets-Sixers at 1pm ET 7th seed-Boston at 3:30pm ET Knicks-Cavs at 6pm ET Warriors-Kings at 8:30pm ET",3,26,51.8K,2023-04-09T22:40:17.000Z
1645190727205519361,@SIChrisMannix,Statement from ‘Wolves President of Basketball Operations Tim Connelly on Rudy Gobert: “We made the decision to send Rudy Gobert home after the incident in the second quarter. His behavior on the bench was unacceptable and we will continue handling the situation internally.”,15,43,128.4K,2023-04-09T22:23:30.000Z
1645189580621221888,@BleacherReport,"Jaden McDaniels has suffered a broken right hand after punching a wall, per @ShamsCharania",274,896,1.8M,2023-04-09T22:18:56.000Z
1645189305306959874,@RapSheet,Odell Beckham Jr has agreed to a deal with the #Ravens.,"1,993","9,981",5.6M,2023-04-09T22:17:51.000Z
1640072684255215618,@Rachel__Nichols,This section of the Western Conference standings is so bonkers right now. All these teams have either 7 or 8 games remaining.,6,11,48.1K,2023-03-26T19:26:13.000Z
1640067471897161729,@kylegoon,"More surprising news: LeBron will play for the first time in months, or that LeBron will come off the bench for the second time ever?",8,18,61K,2023-03-26T19:05:30.000Z
1639359465848995840,@ShamsCharania,"Phoenix Suns' 13-time All-Star Kevin Durant (sprained ankle) is progressing toward a potential return to action on Wednesday vs. Minnesota Timberwolves, barring any setback, league sources tell @TheAthletic @Stadium .",354,"2,149",2.6M,2023-03-24T20:12:09.000Z
1638764755304448000,@melissarohlin,Monty Williams was extremely frustrated with the free throw disparity. He answered one question and then walked off.,245,512,1.3M,2023-03-23T04:48:59.000Z
1638691297690292224,@Rachel__Nichols,"With Ja Morant back on the floor tonight, @Matt_Barnes22 and I discuss what to expect from the young superstar and how the Grizzlies are taking precautions on the road to avoid putting Ja in tempting situations:",3,8,49.9K,2023-03-22T23:57:05.000Z
1638658276136189952,@Rachel__Nichols,"What do you expect from Ja Morant in his return tonight? @Matt_Barnes22 says Ja is about to go on a tear - we also talk the Wild West, whether the league is sleeping on the Cavs, and how Magic Johnson might shake up the NFL in the latest What's Burnin pod:",10,5,49.9K,2023-03-22T21:45:52.000Z
1638416114266050560,@NotoriousOHM,Paul George just left the arena on the back of a cart with his right leg extended. He nodded on his way out. Clippers not expecting to have an update on George tonight.,25,145,189.9K,2023-03-22T05:43:36.000Z
1638316170268000257,@Rachel__Nichols,Always fun to work with the mogul @BaronDavis,2,1,93.4K,2023-03-21T23:06:28.000Z
1638286942835204096,@Rachel__Nichols,Expecting some serious scoring on both sides in Sacramento tonight @DKSportsbook,4,6,53.6K,2023-03-21T21:10:19.000Z
