tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1645119833359499265,@TiptonEdits,"NEWS: Baylor transfer LJ Cryer has committed to Houston, he tells @On3sports . Averaged 15 PPG this season. Story: https://on3.com/college/houston-cougars/news/baylor-transfer-lj-cryer-commits-to-houston/…",44,415,633.5K,2023-04-09T17:41:47.000Z
1644894909462110208,@NCAAIceHockey,"You deserve it, Coach ESPN2 #MFrozenFour x @QU_MIH",13,235,281.1K,2023-04-09T02:48:01.000Z
1644895013489496064,@SportsCenter,QUINNIPIAC WINS ITS FIRST NATIONAL TITLE JUST SECONDS INTO OVERTIME! #MFrozenFour,124,"1,193",1.5M,2023-04-09T02:48:26.000Z
1644895744803979265,@QU_MIH,"For the first time in program history, we are NATIONAL. CHAMPIONS. #BobcatNation x #MFrozenFour",155,"1,570",597.3K,2023-04-09T02:51:20.000Z
1644007391476830210,@NCAA,Junior Sam Stuhl of @AugsburgAuggies talks about the unique experience competing with his teammates at the @NCAADIII wrestling national championship while capturing the team and individual title! NCAA Social Series with @TheAndyKatz : https://on.ncaa.com/EP150 #NatlSADay,1,13,46.5K,2023-04-06T16:01:20.000Z
1643998713310748672,@TheAndyKatz,Our latest ⁦ @NCAA ⁩ Social Series on National-Student Athlete Day with guests from all 3 divisions including ⁦ @RazorbackTF ⁩.,1,0,22.7K,2023-04-06T15:26:51.000Z
1643977264382758916,@NCAA,"NCAA Social Series National Student-Athlete Day @TheAndyKatz talks with 4 student-athletes from national championship-winning teams. @NSUSharks ' Emily Trieschmann, @AugsburgAuggies ' Sam Stuhl and @RazorbackTF 's Jordan West & Britton Wilson. #NatlSADay | https://on.ncaa.com/EP150",2,6,52.1K,2023-04-06T14:01:38.000Z
1643941662731763712,@tsnmike,NBA Draft Decisions: Seven players whose decisions about returning to college basketball will impact pursuit of 2024 #MFinalFour #NBADraft,5,8,67.1K,2023-04-06T11:40:10.000Z
1643777955938840577,@KerrKriisa,Take me home..,171,334,294K,2023-04-06T00:49:39.000Z
1643815262922362883,@sdutzeigler,"If you thought, well, the basketball season is over and the coaches get a break now, think again. They're already hard at work (and have been for weeks) scouring the transfer portal for reinforcements for next season.",8,15,61.8K,2023-04-06T03:17:53.000Z
1643649936821481472,@InsideWithPsaki,. @GavinNewsom owes the state of Connecticut a few avocados after UConn's NCAA win... Tune in Sunday for @jrpsaki 's sit-down with Governor Gavin Newsom.,"1,957",964,260.5K,2023-04-05T16:20:57.000Z
1643661477394382864,@MarchMadnessMBB,. @TheAndyKatz reveals his way-too-early #Power36 Watch live NOW https://bit.ly/3KfyU3V,17,23,201.3K,2023-04-05T17:06:48.000Z
1643675962809233408,@TheAndyKatz,Rosters are all fluid but here is our first crack at 2023-24 for @MarchMadnessMBB :,10,1,76.3K,2023-04-05T18:04:22.000Z
1643667932755394582,@MarchMadnessMBB,FIRST POWER 36 OF 2023-24 @TheAndyKatz reveals his first Power 36 for the 2023-24 season https://bit.ly/3KhahnA,215,416,1.2M,2023-04-05T17:32:27.000Z
1643646213147840513,@MSwain247,"Bill Self said he will be the coach at Kansas next season. ""I am 100% positive I will be coaching this upcoming season at the University of Kansas and hopefully many beyond that.""",16,170,288.4K,2023-04-05T16:06:09.000Z
1643345826016817152,@tjwahl01,One last ride #OnWisconsin,139,374,502.2K,2023-04-04T20:12:31.000Z
