tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1541872360869007362,@jadande,"When we picked @StephenCurry30 for the cover of the Year's Best Sports Writing collection a few months ago we had no idea he'd go on to win the Bill Russell NBA Finals MVP. So, yeah, that worked out well. You can pre-order the book here:",5,17,0,2022-06-28T19:53:12.000Z
1645188844579422208,@wojespn,"Minnesota Timberwolves F Jaden McDaniels -- who was seen punching a wall on his way to the halftime locker room – has a fractured hand, sources tell ESPN.","1,111","5,306",5.9M,2023-04-09T22:16:01.000Z
1645165534965649408,@ChristopherHine,"I've been working on a piece about Kyle Anderson's leadership and his blunt, honest way of talking to teammates. I asked Rudy Gobert about him yesterday. He's what Rudy said.",231,"2,012",1.5M,2023-04-09T20:43:23.000Z
1645179062661394432,@jadande,With so much (internal) drama in the NBA…,5,4,35.7K,2023-04-09T21:37:09.000Z
1645118514318163968,@SportsCenter,UDONIS FOR THREE,56,487,902K,2023-04-09T17:36:33.000Z
1644743393103208451,@APSE_sportmedia,"Collegiate sports journalists entering their sophomore, junior or senior years in 2023, as well as graduate students, are eligible for the scholarships. Awarded based on journalistic work, academic record, financial need, and geography.",0,20,28.5K,2023-04-08T16:45:57.000Z
1641784535443464192,@jasongay,Please keep this story and Evan Gershkovich front of mind. This is an outrageous arrest.,4,48,40.4K,2023-03-31T12:48:30.000Z
1641529756507054109,@paytonsun,My son had a seizure Mon in #LasVegas. It was the scariest moment of my life. Two strangers didn’t hesitate to help me save his life. I didn’t get their info but I’m sharing this in hopes someone knows them. We would to personally thank them. Pls RT & keep Jp in your prayers.,482,"2,455",1.3M,2023-03-30T19:56:06.000Z
1640481751897198598,@thrasherxy,"“On the south side, a quest to keep Black baseball alive"" by @mkrwrt in @Chicago_Reader , @MedillSchool MSJ 2022 and winner of the @CJA_Updates Best Sports Writing of 2022",1,8,19.5K,2023-03-27T22:31:42.000Z
1640431174743908353,@joylynrbukovac,"I appreciate all the support I’ve received after sharing my story. I don’t talk about it much, but I think about what happened on February 5, 2010 often. I just want people to know they aren’t alone. I also want to discuss solutions. As a mom, I am worried for the future",187,"2,014",1.2M,2023-03-27T19:10:44.000Z
