tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1644439286341840897,@elonmusk,This will be great for reducing impersonation risk,"6,017","3,262",7M,2023-04-07T20:37:32.000Z
1645127177703235589,@elonmusk,Happy Easter!,15K,13.9K,8.8M,2023-04-09T18:10:58.000Z
1645116142791393283,@elonmusk,Tesla opening Megapack factory in Shanghai to supplement output of Megapack factory in California,"3,608","3,555",8.4M,2023-04-09T17:27:07.000Z
1644944993499357184,@elonmusk,Starship is ready for launch Awaiting regulatory approval,"8,932",13.1K,13.7M,2023-04-09T06:07:02.000Z
1644932024975622144,@elonmusk,,"5,929",10K,9.2M,2023-04-09T05:15:30.000Z
1644874473525346306,@elonmusk,I’m proudly half Canadian!,"8,974",12.6K,21.2M,2023-04-09T01:26:49.000Z
1642395451209940993,@elonmusk,The real tragedy of @NYTimes is that their propaganda isn’t even interesting,11.9K,31.5K,21.2M,2023-04-02T05:16:04.000Z
1642402646836297729,@elonmusk,"Also, their feed is the Twitter equivalent of diarrhea. It’s unreadable. They would have far more real followers if they only posted their top articles. Same applies to all publications.","3,826","8,488",7.4M,2023-04-02T05:44:40.000Z
1642391828824506371,@elonmusk,@CommunityNotes,"2,517","3,252",8.4M,2023-04-02T05:01:40.000Z
1642244485772980226,@elonmusk,Me after 1 day of not eating sugar,23K,26.2K,45.2M,2023-04-01T19:16:11.000Z
1642208486728630272,@elonmusk,Wait for it …,22.6K,16.2K,63.3M,2023-04-01T16:53:08.000Z
1641880448061120513,@elonmusk,Twitter open source Spaces discussion happening now!,"3,571","7,620",12.5M,2023-03-31T19:09:38.000Z
1642085053504028673,@elonmusk,"This is most of the recommendation code. In the coming weeks, we will open source literally everything that contributes to showing a tweet, such that the output can be at least roughly approximated.","1,699","2,079",5.5M,2023-04-01T08:42:39.000Z
1642026231766953985,@elonmusk,Don’t Look Up … but AGI instead of comet,"5,865","7,117",18.2M,2023-04-01T04:48:55.000Z
1642001368872370178,@elonmusk,We live in the most interesting of times,29.4K,35.4K,31.7M,2023-04-01T03:10:07.000Z
1641906265944203267,@elonmusk,Twitter will be updating its recommendation algorithm based on user suggestions every 24 to 48 hours,"8,097",12.1K,13.2M,2023-03-31T20:52:13.000Z
1641876892302073875,@elonmusk,Twitter recommendation source code now available to all on GitHub,"5,081",24.5K,22.4M,2023-03-31T18:55:30.000Z
