tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1637619729400737794,@julielindsay,Look! Here is our current episode of Balancing the Shift. @LisaJacka start the conversation about learning environments - one that is ongoing here @unisqaus as we plan for #HyFlex learning,0,0,281,2023-03-20T00:59:03.000Z
1626083516462272513,@julielindsay,Balancing the Shift podcast with @LisaJacka at @unisqaus Our latest episode talking to Dr Rian Roux about AI and ChatGPT https://anchor.fm/balancingtheshift/episodes/06--AI-and-ChatGPT-e1v1vv1/a-a9bh5d7… #highereducation #ChatGPT #ArtificialIntelligence #highered,0,0,172,2023-02-16T04:58:16.000Z
1625704748132233217,@scottj_onwheels,Listen to the newly published episode of the #EmpathytoImpact Podcast: ENCORE: The Value & Impact of Community Service https://share.transistor.fm/s/73f656a4 @inspirecitizen1 @inspirecitizen2 @LeeanneLavender @Ivy_TwoBirdsEdu @LottieDowlingNZ,0,3,370,2023-02-15T03:53:10.000Z
1612782575868600325,@ISC_Research,Edruptors of 2022 announced! Our white paper includes a list of international education influencers who share good practice for their peers. Find out more to stay up to date with current trends! Download our white paper: http://ow.ly/X2Ps50MipCs #Edruptorsof2022 #intled,2,24,13.3K,2023-01-10T12:05:04.000Z
1613031076137689088,@julielindsay,In my educational life I try to maintain a high standard of 'edruption' at all times...thanks to @ISC_Research for the acknowledgement. Shout out to other edruptors - keep up the good work.,0,1,376,2023-01-11T04:32:31.000Z
1521663458902634496,@julielindsay,#cradle365,0,0,0,2022-05-04T01:30:14.000Z
1517450777895260163,Martin Weller - @Mweller@mastodon.social,blog post: Good online learning – learning design http://blog.edtechie.net/learning-design/good-online-learning-learning-design/…,0,8,0,2022-04-22T10:30:32.000Z
1517165746773708800,@AsiaSocietyEDU,TAP IN TODAY: Here are the questions for #GlobalEdChat if you'd like to prepare (or schedule a few replies so you can focus on the Twitter Spaces discussion which will happen simultaneously!): https://asiasociety.box.com/s/gxlahq4qxdso5ilxxdv0mpcbf4lnwat4… #globaled,0,5,0,2022-04-21T15:37:56.000Z
1516529352598466563,@hsingmaster,"Looking forward to #Globaledchat this week! To get us thinking, please suggest a tool, strategy, or resource that is useful for connecting students to the world. Tag 5 others you would like to hear from as well. #globaled #globaled22 #teachsdgs",4,12,0,2022-04-19T21:29:08.000Z
1513754368855588865,@julielindsay,Introducing the Online Collaborative Learning SIG - the latest Conversation on our blog https://create.usq.edu.au/edtech/2022/04/12/introducing-the-online-collaborative-learning-sig/… #techdemCoP @usqedu #highered #onlinelearning #Collaboration,0,0,0,2022-04-12T05:42:20.000Z
1511133104592752643,@julielindsay,Read the latest #techdemcop Conversation about international collaboration and shaping online learning https://create.usq.edu.au/edtech/2022/04/01/international-collaboration-and-the-four-pillars-that-influence-and-shape-online-learning-at-usq/… #highereducation #onlinelearning #studentengagement @usqedu @usqAcademicDev,0,1,0,2022-04-05T00:06:22.000Z
1509689938144788480,@julielindsay,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary,1,0,0,2022-04-01T00:31:44.000Z
1499731391537373187,@bobgreenberg,"June-Ann Greeley, with roots in Odessa, Ukraine, is the Director of the Middle Eastern Studies program at @sacredheartuniv . She shares her passion about why Ukraine Matters. https://youtu.be/ll4AUzMFraw @tsbray @pammoran @julielindsay @MikeHynes5 @smithtk @RuizSealey",0,5,0,2022-03-04T13:00:02.000Z
1502737445724561409,@elemenous,"Join @AsiaSocietyEDU , @hsingmaster , @LottieDowlingNZ , and myself this Thursday at 7 PM CST (GMT-5) for #globaledchat. Let's discuss the important topics of democracy and civics education. #edchat #TwitterEdu #civics #sschat #Ukraine",1,6,0,2022-03-12T20:05:01.000Z
1494441810588205056,@unisqaus,Join us in celebrating our incredible achievement! We've jumped 30 spots to place 86th in the prestigious 2022 @timeshighered Young University Rankings. #usqproud,0,6,0,2022-02-17T22:41:07.000Z
1490489605170233345,@julielindsay,Read the latest @USQedu #TechDemCoP Conversation reviewing Synthesis of Student Engagement with Digital Technologies: A Systematic Review of Literature https://create.usq.edu.au/edtech/2022/02/03/an-interesting-read-nkomo-daniel-and-butson-synthesis-of-student-engagement-with-digital-technologies-a-systematic-review-of-literature/… #highered,0,2,0,2022-02-07T00:56:28.000Z
1487051778856210434,@bobgreenberg,Maximilien Lambart - Teaching in the Global Pandemic - France ⁦ @PeElevesRealite ⁩ ⁦ @pammoran ⁩ ⁦⁦ @tsbray ⁩ ⁦ @julielindsay ⁩ ⁦ @RuizSealey ⁩,0,2,0,2022-01-28T13:15:46.000Z
1487329406456844289,@sjpiper145,"You can now find all my soldering kits, stickers, wearable tech and more on my newEtsy Store: https://etsy.com/au/shop/PIPER3DP…",30,149,0,2022-01-29T07:38:58.000Z
