user,text,num_comments,num_retweets,num_views,timestamp
@notpythonn,"Bale on yesterday’s win to . @BBCNews : What a performance from the lads - Vini, Benzema, Camavinga, everyone was on fire! I almost wish I was out there with them, but I'll leave it to the young guns now. Real Madrid will always be my home, no matter where my journey takes me.",49,606,126.3K,2023-04-06T11:19:30.000Z
@python_spaces,Learn Data Structures and Algorithms with Python Book link,14,339,128.1K,2023-04-06T18:10:37.000Z
user,text,0,0,0,0
@Verukita1,OPEN ACCESS Statistics books 1-https://modernstatisticswithr.com/index.html 2-https://openintro-ims.netlify.app 3 -https://directory.doabooks.org/handle/20.500.12854/34734… 4-https://usq.pressbooks.pub/statisticsforresearchstudents/… #AcademicTwitter #MachineLearning #networkscience #rstat #R #datascience #statistics #neuroscience #bioinformatics #PhD #postdoc #Python,17,389,62.6K,2023-04-06T02:09:24.000Z
@Prathkum,"Learn web development (free): 1. HTML, CSS ➝ http://LearnHtmlCss.online 2. JavaScript ➝ http://JsChallenger.com 3. Git & GitHub ➝ http://GitFluence.com 4. API ➝ http://RapidApi.com/learn 5. React ➝ http://React-tutorial.app 6. SQL ➝ http://LearnSqlOnline.org 7. Python ➝…",9,63,"9,799",2023-04-07T09:34:19.000Z
@Python_Dv,"How to Send Emails Using Python - Plain Text, Adding Attachments, HTML Emails, and More ☞ https://morioh.com/p/6085b424ff26?f=5c21fb01c16e2556b555ab32… #python",1,97,28.5K,2023-04-06T15:58:27.000Z
@PythonAnything,Squidward has sadly passed away,7,8,"5,168",2023-04-06T17:38:15.000Z
@shamiecom,This python was found in our farm in nakatooke It has been two weeks since one calf got lost and it was this monster that fed on it. We thank God nobody was hurt.,74,65,30.5K,2023-04-06T15:13:02.000Z
@Susu_jpg,"banana mojave ball python, one of my many lovely reptiles. thanks to my e-girl dollars I’m able to provide all my exotics with the environments and care they deserve.",62,94,86.8K,2023-04-06T18:52:02.000Z
@humblemuzzu,"Learn programming by playing games: 1. http://tynker.com Python, JavaScript, Java 2. http://cssbattle.dev CSS 3. http://javascriptquiz.com JavaScript 4. http://codingame.com 25 languages supported 5. http://ohmygit.org Git Add more",29,474,77.7K,2023-04-05T06:29:08.000Z
@beeohjay,every c programmer needs to c this programming memes python tech,37,32,"6,245",2023-04-06T07:56:50.000Z
@PythonPr,How to Generate Barcodes using Python ☞ https://morioh.com/p/7063b0f3ad20?f=5c21fb01c16e2556b555ab32… #python,3,66,16K,2023-04-06T20:30:00.000Z
@tut_ml,Learn Python for Data Science using these Courses- https://mltut.com/best-data-science-with-python-courses-online/… #DataScientist #Programming #Coding #100DaysofCode #SQL #Python #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #TensorFlow #AI #AINews #sqltrain #SQLServer #Statistics #TensorFlow,5,241,86.9K,2023-04-03T03:30:04.000Z
@DaniFdezAlvare1,"New feature in sheXer! Now you can extract patterns associated to shapes containing the common prefix to every node (IRI) used to extract that shape. See input, script, and output example. Working in #ShEx and #SHACL V. 2.1.1, check it out! http://bit.ly/3HBFJfc #Python #RDF",0,2,19,2023-04-07T10:04:32.000Z
@PythonAnything,Squidward LOVES morbius!,3,4,"4,153",2023-04-06T17:38:29.000Z
@RealBenjizo,"Python Question; Another function. What is the output of this code, and why?",45,26,41.1K,2023-04-06T17:23:00.000Z
@OddlyHorrifying,Python trap using live chicken,3,34,59.7K,2023-04-04T12:06:24.000Z
@PythonAnything,McLovin and Finger should be friends together!,3,3,"5,792",2023-04-06T17:42:43.000Z
@albe_xl,Good morning to all of you who enjoy creating satisfying animations ... ...using Python,2,2,272,2023-04-06T10:00:02.000Z
@PythonAnything,Finger is about to get into a race against Takumi Fujiwara!,8,2,"6,185",2023-04-06T20:21:37.000Z
@DataChaz,"Auto-GPT, the world's first #AGI? @SigGravitas ' Auto-GPT is now able to write its own code using #GPT4 and execute Python scripts! This allows it to recursively debug, develop, and self-improve! The best part? It's free and open-source! More below ↓",21,101,51.9K,2023-04-07T06:38:33.000Z
@SnakeHour,white lipped python 002,1,92,"9,471",2023-04-04T03:11:35.000Z
@clcoding,Remove Image Background using Python https://youtu.be/RkdFkhfMK2k,6,118,53.9K,2023-04-06T16:15:13.000Z
@swapnakpanda,Save these 50+ sites forever: ❯ Python ➟ realpython ❯ SQL ➟ sqlbolt ❯ Java ➟ journaldev ❯ C# ➟ learncs ❯ PHP ➟ learn-php ❯ JavaScript ➟ javascript .info ❯ Kotlin ➟ studytonight ❯ Swift ➟ codewithchris ❯ Go ➟ learn-golang ❯ C ➟ learn-c ❯ C++ ➟ codecademy,40,653,170.3K,2023-04-05T12:46:04.000Z
@P.NdirituThuku,"""Visualizing data has never been easier! With GIS, you can turn boring spreadsheets into interactive and informative maps and Graphs #GIS #datavisualization"" Earlier this year I visualized weather patterns of Seattle and Austin using python and its libraries",0,9,"1,018",2023-04-07T02:01:54.000Z
@MariaKostiander,Monty Python. Ne ties.,2,11,"4,014",2023-04-06T19:18:21.000Z
@IamTheCyberChef,"After CompTIA Network+, Security+; learn this Basic skills: Linux, Python, Packet/Log Analysis, Active Directory Tools: Wireshark, Nmap, Nessus, Splunk, IDS/IPS, Pfsense You will not learn it all over night. Be patient. Enjoy the journey. Retweet and DM if you need help",7,100,26.7K,2023-04-06T09:57:55.000Z
@_oyewole_ola_,Day 24 of #100DaysOfCode of Python. Learnt about Files directories and paths. Used the knowledge to improve my Python Snake Game by adding High Score. To God be the Glory!,4,3,550,2023-04-06T13:29:44.000Z
@Onyeka_Ojumah,Six months of dedication to get your data engineering career on track. All links are free. 1. Master Python: https://lnkd.in/e5rCbvP8 2. Learn SQL: https://lnkd.in/efMKFkfX 3. Learn MySQL: https://lnkd.in/efk-Mi3c 4. Learn MongoDB: https://lnkd.in/eMKPWtqX,15,183,25K,2023-04-03T09:51:04.000Z
@VivekSi85847001,"Tejas Thursday Intercontinental Version of LCA Tejas, ready for take off.. Just add 2×Astra MK1, 2×Python 5 and Rafael Lightning Targeting Pod on this & that will make it "" Bad Boy "" :- Umanand Sharma/IG",4,38,"4,317",2023-04-06T04:02:07.000Z
@FontyPythonBF,wona DC'd shortly after; press F to pay respects. #NintendoSwitchSports #NintendoSwitch,0,0,64,2023-04-07T03:01:03.000Z
@montypython,The Romans to Judas: #MontyPython #GoodFriday #Easter,3,25,10K,2023-04-07T08:00:02.000Z
@slow_developer,An overview of web development: • Basics 1. HTML 2. CSS 3. JavaScript • Front end framework 1. Tailwind CSS 2. React / Vue • Back end framework 1. PHP-Laravel 2. JavaScript-Node.js 3. Python-Django • Design 1. Figma 2. Photoshop • Database 1. MySQL 2. MongoDB,20,279,68.4K,2023-04-03T06:50:12.000Z
@tut_ml,Learn Time Series Analysis with these Online Courses- https://mltut.com/best-time-series-courses-online/… #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #Python #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity #BigData #Analytics #pythonprogramming,4,116,33.3K,2023-04-04T03:29:08.000Z
@zezaht,"I am excited to announce that I have completed the Google Data Analytics certification course and earned my certificate! Initially, I paused the course when I reached the R programming section since I was already learning Python and did not want to tackle two languages at once.",95,117,93.2K,2023-04-04T10:10:17.000Z
@wildbubbles_,I can't wait to get my hands on Python,15,6,"3,652",2023-04-04T10:01:10.000Z
@python_717,Learning tele cancel. This combo is all kinds of swag #PS4share https://store.playstation.com/#!/tid=CUSA00572_00…,7,5,"3,149",2023-04-06T03:33:54.000Z
@montypython,Look on the bright side of life… Life of Brian is back on UK big screens this weekend! Get your tickets now: https://montypython.com/news_brianukeaster/533…,28,373,113.1K,2023-04-03T09:00:01.000Z
@PythonAnything,"With the power of `requests` library, I can download all characters in the previous JSON of anything bot! this will speed up the process of me adding the characters, I guess",18,8,21.4K,2023-04-06T16:27:12.000Z
@revoltwear,The guys of Monthy Python were ahead of their time,3,6,140,2023-04-05T15:54:19.000Z
@geeksrtcle,"DevOps Tools Operating system → Linux (recommended), Windows Programming → Go, Python, Groovy Container orchestration → Kubernetes Containers → Docker Source Code Management → Git, Subversion Cloud → AWS, GCP, Azure, CivoCloud",3,26,"8,112",2023-04-06T22:32:44.000Z
@ResearchGenome,Integrating Molecular Biology and Bioinformatics Education https://doi.org/10.1515/jib-2019-0005… #Bioinformatics #WomenWhoCode #WomenInScience #Python #100DaysOfCode #OpenAccess #DataScience,0,2,867,2023-04-07T03:20:05.000Z
@PythonPr,How to Create a Really Simple Web Server in Python #python,5,167,60.4K,2023-04-02T18:31:00.000Z
@gp_pulipaka,#DataScience Books to Transform You from Beginner to Expert! #BigData #Analytics #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Books #Programming #Coding #100DaysofCode https://bit.ly/3K9vCzg,0,18,"1,760",2023-04-07T03:52:02.000Z
@MelgotCourt,My daughter and her boyfriend rescued this guy off the highway last night south of Darwin. A black headed python. He’s fine and going off to be released. As far away from my house as possible thank you very much.,12,5,782,2023-04-06T23:59:55.000Z
@OpShinDev,1/n Playing around with formal verification of #python smart contracts on #Cardano...,3,23,"4,494",2023-04-04T23:16:21.000Z
@notpythonn,"Truth runs sprints, while lies run marathons",5,5,"6,626",2023-04-07T05:09:40.000Z
@gp_pulipaka,Free eBook: Intro to Machine Learning. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode https://geni.us/Free-eBook-M-L,0,83,14.1K,2023-04-06T15:26:01.000Z
@brecksporter,I want her to squeeze the life out of me like a python w her bicep,2,1,139,2023-04-07T00:02:55.000Z
@DataGuy__,"Google has launched a new advanced data analytics certification course! This is version 2.0 for those that took the data analytics certificate. The good news is, this one covers Python.",21,132,41.9K,2023-04-06T17:50:46.000Z
@subnetspider,"Day 148 of #100DaysOfHomeLab Today I wrote a small BastilleBSD template to bootstrap my jails for Ansible (install sudo + python, create users, ssh keys) and ran it on all my jails. After that I ran my new Ansible playbook that hardens SSH and then restarts it (task + handler).",2,4,512,2023-04-05T21:23:32.000Z
@10Alytics,"Are you a beginners Data Analyst? Master; - Excel - Python - SQL - PowerBI, Tableau Next? Write articles, build, share projects and connect inspiring data analysts and recruiters.",1,44,"7,320",2023-04-06T17:00:01.000Z
@HannahRDines,"Yesss we're in the current issue. So, so proud of this and the team which achieved it @keziah_milligan #Genomics #AcademicTwitter #Python @ManMetUni",0,0,37,2023-04-07T10:19:19.000Z
@_BeBeyond,Imagine calling US uncultured when that Monty Python scene is literally making fun of slow people like them who use any ridiculous reason they possibly can to vilify Amber Heard.,1,1,767,2023-04-07T01:37:40.000Z
@Sumanth_077,SQL Queries in Python Load SQL queries and convert them to a Pandas Dataframe. Check this out:,9,171,63.6K,2023-04-03T14:35:48.000Z
@ctjlewis,imagine being like “wow what a great time to go all-in on Python” and being totally unaware of the Javascript train headed toward you at full speed,69,46,179.4K,2023-04-04T15:53:31.000Z
@Africax5,"She is an expert in HTML, CSS, JavaScript, JQuery, WordPress, PHP, MySQL, Graphic Design, Java and Python. She has a Google app called Emma's ICT Academy. She was featured on BBC's ""My Life"" series. It was aired to celebrate International Women’s Day on CBBC channel in 2021.",2,32,"3,245",2023-04-05T17:02:25.000Z
@Parajulisaroj16,Data visualization is an essential part of data analysis that helps in understanding complex data sets and presenting them meaningfully. https://pyoflife.com/python-data-visualization-cookbook/… #Python #DataScience #DataVisualization #DataAnalytics #programming #skills,1,80,24.4K,2023-04-05T13:42:47.000Z
@JohnCleese,"As Monty Python used to say ""Ooooh, what a give-away """,65,215,616.8K,2023-04-03T22:12:47.000Z
@softpinkpony,banoffee the ball python! #furryoc,13,48,"3,540",2023-04-05T18:26:30.000Z
@thiskiki_,I got tired of reading that thread let me not lie. She would have made sense if she hit the nail on the head. Gbo gbo python dance yen o necestri,2,2,223,2023-04-07T07:58:52.000Z
@Kipkiruidjango,This Python script builds a WhatsApp chatbot using Flask and Twilio's Programmable Messaging API to provide career guidance to students based on their grades and interests.,12,29,14.2K,2023-04-03T14:21:52.000Z
@python_spaces,30DaysofAzureAI: Day 5 Learn the key concepts of Azure ML for Free in this premier.,1,34,12.5K,2023-04-06T06:38:39.000Z
@tut_ml,Learn Machine Learning with these FREE Online Courses- https://mltut.com/udacity-free-courses-on-machine-learning/… #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #Python #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity #BigData #Analytics #pythonprogramming,0,3,589,2023-04-07T04:22:15.000Z
@scrumtuous,Check this out! An actual video of a busy Python tread looking at 8 idle CPU cores. #java #github #softwareengineer,40,94,83.5K,2023-04-03T14:44:50.000Z
@IamTheCyberChef,"Beginners in cybersecurity Study CompTIA A+, Network+, Security+ Get Skills Linux, Python, Packet Analysis, Active Directory Certification Security+ These are the foundations you need to succeed in this field Anything aside this path is a DISTRACTION Focus on what matters",8,156,40.4K,2023-04-05T21:30:39.000Z
@Ashlab6,Another day down! Completed day 3 of #100DaysOfCode in #Python challenge by @yu_angela and feeling more confident with each passing day! Grateful for the guidance and excited for the challenges ahead. Let's keep going! #codinglife #lifelonglearning,0,2,7,2023-04-07T09:30:22.000Z
@anshusinha_20,"#100DaysOfCode #100daysofcodechallenge #Python #pythonprogramming day 23 at python - Completed building a ""Turtle crossing game """,5,6,"1,765",2023-04-03T11:16:09.000Z
@pyquantnews,"ChatGPT is overhyped. That's what I told myself after 2 weeks of failing to use it well. Turns out, I was just a poor prompt writer. But after spending 100 hours with it, I've cracked it. And now, it's my personal research assistant and Python developer. Here's how:",32,220,232.5K,2023-04-05T00:13:13.000Z
@virattt,"This morning, I spent some more time playing around with @LangChainAI and @pinecone . This time, I did question answering over Airbnb's last 3 annual reports (PDFs). • Less than 50 lines of code • All in Python • Code linked below Exploration was inspired by @mayowaoshin",8,32,81.4K,2023-04-04T22:06:06.000Z
@tut_ml,Learn Machine Learning with these Courses- https://mltut.com/best-advanced-machine-learning-courses/… #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #Python #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity #BigData #Analytics #pythonprogramming,1,25,"2,211",2023-04-06T03:05:35.000Z
@animesh_shah,#Python single call Api for Optionchain @ICICI_Direct @BreezeApi has done good work @DhanCares should learn. Dhan has useless api available.,6,2,"7,120",2023-04-06T01:42:15.000Z
@jslvtr,Uploading files to Backblaze B2 with Python! Super easy with their b2sdk library,1,4,780,2023-04-06T13:29:11.000Z
@bentique3,"Many people find lions and leopards the most impressive creatures while in the wild but sighting a snake is by far my best sighting. This python was on the run, I couldn’t get many shots but am impressed with the sighting. #29DaysofUGBeauty #Travelwithme #ExploreUganda",11,28,"6,065",2023-04-04T17:45:25.000Z
@incorrectbudds,"rei, holding a python: guys I impulsively bought a snake, what do I name him kazuki: you did WHAT– miri, top of her literature class: William Snakepeare #BuddyDaddies #バディダディ",0,78,"4,204",2023-04-05T17:01:11.000Z
@TheKazooHero,Monty Python and the Holy Grail (1975). Art by William Stout.,2,17,"1,745",2023-04-02T14:17:26.000Z
@daansan_ml,New to Data Science? Discover #pandas DataFrames. They are extremely useful in Data Science! THREAD #MachineLearning #DataScience #Python #TimeSeries #AI #ML,8,65,31.2K,2023-04-03T08:21:57.000Z
@gowdavy,It's like a Monty Python sketch. Either the Spanish Inquisition or the Life of Brian one where dozens of Legionaries search a one roomed house.,4,22,"1,757",2023-04-07T06:11:21.000Z
@undiagnosed_1,"You can now write in #Rust, #C, C++, #Python, #Go, and soon #EVM compatible languages on #Tezos’ native layer 2. Check out this list of changes from Businesswire. The storm of new dApp devs is about to begin. https://businesswire.com/news/home/20230329005895/en/Tezos-Activates-%E2%80%98Mumbai%E2%80%99-Upgrade-Enabling-More-Than-a-Million-Transactions-Per-Second… #cryptocurrency #crypto #blockchain…",32,52,"6,684",2023-04-02T12:37:09.000Z
@python_spaces,Here is the PDF link:,6,23,"6,187",2023-04-06T18:10:38.000Z
@HiwonderSteam,Is it a complicated procedure to keep waste models into JetMax's mind? Discover the secret now. ☞ http://bit.ly/3nLxmXS #robotarm #robot #robotics #nvidia #JetsonNano #code #Hacks #hacker #rpi #python #ros #codinglife #algorithm #machinelearning #opensource,0,6,228,2023-04-07T01:39:29.000Z
@gp_pulipaka,Beginner’s Guide to Artificial Neural Networks. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode https://geni.us/Artificial-Neural-Nets…,3,48,11.3K,2023-04-05T04:26:03.000Z
@futchzilla,juyeon stuck in a glue trap,1,2,250,2023-04-07T04:05:23.000Z
@IamTheCyberChef,"The way to start a career in cybersecurity Is not get a Bsc or an MSc in cybersecurity Here is your roadmap Certification CompTIA A+, Network+, Security+ Skills Linux, Python, Packet Analysis, Active Directory Tools Nmap, Nessus, Splunk, Pfsense, IDS/IPS",16,223,72.8K,2023-04-02T19:32:01.000Z
@anythingbott,"Since the fall of CBDQ, I think I should be making a thread about how to make your own Python bot on Twitter Please note that this thread will fully get completed tomorrow since it's 2AM rn lmao",13,180,75.9K,2023-04-06T23:07:05.000Z
@mo_tiwari,"Want something better than k-means? I'm happy to announce our SOTA k-medoids algorithm from NeurIPS 2020, BanditPAM, is now publicly available in Python, R, and C++! `pip install banditpam` or `install.packages(""banditpam"")` and you're good to go! 1/n",1,8,"7,291",2023-04-04T20:26:30.000Z
@marc_lelarge,"𝗘𝘅𝗽𝗲𝗰𝘁𝗮𝘁𝗶𝗼𝗻–𝗠𝗮𝘅𝗶𝗺𝗶𝘇𝗮𝘁𝗶𝗼𝗻 (𝗘𝗠) 𝗮𝗹𝗴𝗼𝗿𝗶𝘁𝗵𝗺 is an iterative method to find (local) maximum likelihood estimates of parameters in statistical models, where the model depends on unobserved latent variables. #Python code for Gaussian Mixture Model.",9,136,55.5K,2023-04-05T04:47:00.000Z
